"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","2","2","0"
"Federal Reserve System","Agency Overall","2014","2","14","16","0"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","3","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","2","2","0"
"National Capital Planning Commission","Agency Overall","2014","0","1","1","0"
"National Labor Relations Board","Agency Overall","2014","3","21","21","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","1","10","10","1"
"Department of the Treasury","Agency Overall","2014","86","294","287","93"
"Peace Corps","Agency Overall","2014","3","4","6","1"
"Department of Energy","Agency Overall","2014","9","79","77","11"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0"
"Department of Commerce","Agency Overall","2014","1","13","14","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","6","17","21","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","1","0","1"
"Department of Education","Agency Overall","2014","55","58","27","86"
"Export-Import Bank of the U.S.","Agency Overall","2014","2","2","2","2"
"National Credit Union Administration","Agency Overall","2014","0","3","2","1"
"Small Business Administration","Agency Overall","2014","1","21","22","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","1","1","0"
"Federal Labor Relations Authority","Agency Overall","2014","1","2","3","0"
"Department of Labor","Agency Overall","2014","216","400","277","339"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","1","96","97","0"
"Office of Management and Budget","Agency Overall","2014","5","10","12","3"
"United States Postal Service","Agency Overall","2014","19","209","190","3"
"Federal Maritime Commission","Agency Overall","2014","0","0","0","0"
"Farm Credit Administration","Agency Overall","2014","0","1","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","2","21","23","0"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","4","67","59","12"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","1","1","0"
"Postal Regulatory Commission","Agency Overall","2014","0","1","1","0"
"Inter-American Foundation","Agency Overall","2014","0","1","1","0"
"Department of Homeland Security","Agency Overall","2014","235","3634","3490","379"
"Federal Mediation and Conciliation Service","Agency Overall","2014","1","0","1","0"
"United States Copyright Office","Agency Overall","2014","1","0","1","0"
"Office of Special Counsel","Agency Overall","2014","12","5","6","11"
"United States International Trade Commission","Agency Overall","2014","0","3","3","0"
"Environmental Protection Agency","Agency Overall","2014","182","226","185","223"
