"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Railroad Passenger Corporation","Agency Overall","2015","6","6","4","3"
"Consumer Financial Protection Bureau","Agency Overall","2015","28","28","25","29"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","1","0","1","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","26","19","25","21"
"National Science Foundation","Agency Overall","2015","9","3","14","4"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","96","3","97","3"
"U.S. Department of State","Agency Overall","2015","356","243","382","118"
"Department of Veterans Affairs","Agency Overall","2015","299","378","252","377"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","1","0","1","0"
"Tennessee Valley Authority","Agency Overall","2015","7","6","6","7"
"Social Security Administration","Agency Overall","2015","285","252","255","272"
"Office of the Director of National Intelligence","Agency Overall","2015","14","17","10","21"
"Department of Energy","Agency Overall","2015","79","76","77","75"
"Federal Maritime Commission","Agency Overall","2015","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","3627","4679","3475","4634"
"United States Copyright Office","Agency Overall","2015","0","0","0","0"
"United States Postal Service","Agency Overall","2015","209","222","191","228"
"Federal Energy Regulatory Commission","Agency Overall","2015","21","13","23","12"
"Small Business Administration","Agency Overall","2015","21","23","22","18"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","1","0","1"
"National Indian Gaming Commission","Agency Overall","2015","2","1","1","2"
"U.S. Railroad Retirement Board","Agency Overall","2015","1","0","1","0"
"Federal Trade Commission","Agency Overall","2015","15","36","16","37"
"Nuclear Regulatory Commission","Agency Overall","2015","37","73","42","70"
"Federal Financial Institutions Examination Council","Agency Overall","2015","1","1","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2015","2","4","2","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","2","2","2"
"Department of Justice","Agency Overall","2015","3209","3926","3100","4109"
"Department of Commerce","Agency Overall","2015","69","86","69","64"
"Selective Service System","Agency Overall","2015","2","0","2","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","296","272","295","275"
"Consumer Product Safety Commission","Agency Overall","2015","14","19","14","19"
"Legal Services Corporation","Agency Overall","2015","5","1","5","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","8","0","10","0"
"Central Intelligence Agency","Agency Overall","2015","294","257","324","261"
"Occupational Safety and Health Review Commission","Agency Overall","2015","1","0","1","0"
"Federal Housing Finance Agency","Agency Overall","2015","15","8","14","8"
"United States Access Board","Agency Overall","2015","0","1","0","1"
"National Labor Relations Board","Agency Overall","2015","21","24","21","24"
"Office of Management and Budget","Agency Overall","2015","10","5","12","3"
"Administrative Conference of the United States","Agency Overall","2015","0","3","0","3"
"U.S. Commission on Civil Rights","Agency Overall","2015","1","0","1","0"
"National Mediation Board","Agency Overall","2015","2","0","2","0"
"Federal Election Commission","Agency Overall","2015","4","4","3","4"
"National Endowment for the Humanities","Agency Overall","2015","2","1","2","1"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","1","0"
"Federal Reserve System","Agency Overall","2015","14","19","16","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","1","0","1","0"
"Department of Agriculture","Agency Overall","2015","242","304","169","171"
"Office of Special Counsel","Agency Overall","2015","5","3","6","7"
"U.S. Agency for International Development","Agency Overall","2015","16","17","18","29"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","10","20","10","18"
"Department of Labor","Agency Overall","2015","400","404","277","297"
"United States International Boundary and Water Commission","Agency Overall","2015","0","1","0","1"
"Department of the Treasury","Agency Overall","2015","294","332","287","327"
"Overseas Private Investment Corporation","Agency Overall","2015","4","1","4","1"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","0","1","0","1"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","326","312","246","282"
"Securities and Exchange Commission","Agency Overall","2015","451","495","435","505"
"Department of Transportation","Agency Overall","2015","99","164","120","155"
"Armed Forces Retirement Home","Agency Overall","2015","0","2","0","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","1","0","1","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","11","9","12","7"
"United States International Trade Commission","Agency Overall","2015","3","4","3","4"
"Office of the United States Trade Representative","Agency Overall","2015","0","6","1","5"
"Surface Transportation Board","Agency Overall","2015","0","2","0","2"
"National Credit Union Administration","Agency Overall","2015","3","3","2","4"
"National Archives and Records Administration","Agency Overall","2015","81","104","67","27"
"Environmental Protection Agency","Agency Overall","2015","226","222","185","228"
"Postal Regulatory Commission","Agency Overall","2015","1","0","1","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0"
"Peace Corps","Agency Overall","2015","4","8","6","9"
"General Services Administration","Agency Overall","2015","12","37","16","37"
"Department of Education","Agency Overall","2015","58","50","27","63"
"Federal Labor Relations Authority","Agency Overall","2015","2","4","3","4"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","4","1","2","3"
"Farm Credit Administration","Agency Overall","2015","1","1","1","1"
"Office of Science and Technology Policy","Agency Overall","2015","4","6","4","6"
"Department of Housing and Urban Development","Agency Overall","2015","67","38","59","38"
"National Aeronautics and Space Administration","Agency Overall","2015","18","31","22","27"
"Federal Open Market Committee","Agency Overall","2015","0","1","0","1"
"Office of Personnel Management","Agency Overall","2015","17","35","21","20"
"Department of the Interior","Agency Overall","2015","165","191","90","221"
"Commodity Futures Trading Commission","Agency Overall","2015","9","9","6","15"
"Department of Defense","Agency Overall","2015","1055","1083","961","1003"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","1","0","0","1"
"Federal Communications Commission","Agency Overall","2015","23","16","48","9"
"Merit Systems Protection Board","Agency Overall","2015","10","4","9","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","3","0","3","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","1","6","1","6"
