"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Railroad Passenger Corporation","Agency Overall","2015","200","257","200","182"
"Consumer Financial Protection Bureau","Agency Overall","2015","288","318","282","319"
"United States African Development Foundation","Agency Overall","2015","14","2","14","2"
"Inter-American Foundation","Agency Overall","2015","8","3","8","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","163","179","163","179"
"Federal Deposit Insurance Corporation","Agency Overall","2015","647","630","655","606"
"National Science Foundation","Agency Overall","2015","338","302","306","298"
"Office of National Drug Control Policy","Agency Overall","2015","62","43","61","47"
"U.S. Agency for Global Media","Agency Overall","2015","138","45","145","48"
"U.S. Department of State","Agency Overall","2015","19696","24837","18094","14002"
"Department of Veterans Affairs","Agency Overall","2015","29303","29716","28138","30436"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","33","37","32","36"
"Tennessee Valley Authority","Agency Overall","2015","165","198","175","195"
"Social Security Administration","Agency Overall","2015","26899","23208","24689","22922"
"Office of the Director of National Intelligence","Agency Overall","2015","467","395","394","321"
"Department of Energy","Agency Overall","2015","2217","2356","2273","2445"
"Federal Maritime Commission","Agency Overall","2015","41","35","43","39"
"Department of Homeland Security","Agency Overall","2015","291221","281138","238003","348878"
"United States Copyright Office","Agency Overall","2015","43","36","43","34"
"United States Postal Service","Agency Overall","2015","2541","2651","2494","2680"
"Federal Energy Regulatory Commission","Agency Overall","2015","117","131","109","133"
"Small Business Administration","Agency Overall","2015","1306","955","1312","926"
"Farm Credit System Insurance Corporation","Agency Overall","2015","11","11","11","11"
"Institute of Museum and Library Services","Agency Overall","2015","51","34","51","33"
"National Indian Gaming Commission","Agency Overall","2015","52","43","75","34"
"U.S. Railroad Retirement Board","Agency Overall","2015","155","123","149","122"
"Federal Trade Commission","Agency Overall","2015","1440","1531","1425","1531"
"Nuclear Regulatory Commission","Agency Overall","2015","508","505","485","586"
