"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"National Railroad Passenger Corporation","Agency Overall","2015","41 U.S.C. Section  4702(b)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","8"
"Consumer Financial Protection Bureau","Agency Overall","2015","41 U.S.C. § 4702(b)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","3"
"Consumer Financial Protection Bureau","Agency Overall","2015","41 U.S.C § 2102","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information.","1"
"United States African Development Foundation","Agency Overall","2015","N/A","N/A","N/A","0"
"Inter-American Foundation","Agency Overall","2015","N/A","N/A","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","N/A","N/A","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","N/A","N/A","N/A","0"
"National Science Foundation","Agency Overall","2015","35 U.S.C. § 122","Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C.Cir.1979.)","Applications for patents - certain information pertaining to applications for patents","2"
"Office of National Drug Control Policy","Agency Overall","2015","N/A","N/A","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2015","N/A","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2015","8 U.S.C. 1202(f) (Immigration and Nationality Act","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983); Holy Spirit Ass'n for Unification of World Christianity, Inc. v. U.S. Dep't of State, 526 F. Supp. 1022, 1031 (S.D.N.Y. 1981).","Certain records pertaining to the issuance or refusal of visas to enter the United States","6420"
"U.S. Department of State","Agency Overall","2015","10 U.S.C. 424","Physicians for Human Rights v. DOD, No. RBD-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr.19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","4"
"U.S. Department of State","Agency Overall","2015","22 U.S.C. 2778(e) (Arms Export Control Act)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","4"
"U.S. Department of State","Agency Overall","2015","41 U.S.C. 253b(m)(1) (currently at 41 U.S.C. 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"U.S. Department of State","Agency Overall","2015","42 U.S.C. 2162 (Atomic Energy Act)","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom., Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1992).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","1"
"U.S. Department of State","Agency Overall","2015","49 U.S.C. 40119(b) (Federal Aviation Act)","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","2"
"U.S. Department of State","Agency Overall","2015","50 U.S.C. 402 note (National Security Agency Act of 1959)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. V. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009); Larson v. Dep't of State, 565 F.3d 857,868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).","Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees","3"
"U.S. Department of State","Agency Overall","2015","50 U.S.C. 403g (Central Intelligence Act of 1949)","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. Cia, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir 2008).","Intelligence sources and methods; certain information pertaining to CIA employees, specifically:  ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency.""","14"
"U.S. Department of State","Agency Overall","2015","50 U.S.C. 403-1(i)(1) (National Security Act of 1947","CIA v. Sims, 471 U.S. 159, 167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007).","Intelligence sources and methods.","3"
"U.S. Department of State","Agency Overall","2015","Pub. L. No. 99-93 505 (Iran Claims)","No","Records regarding arbitration of claims before the Iran-United States Claims Tribunal","2"
"U.S. Department of State","Agency Overall","2015","19 U.S.C. 2605(h), 2605(i) (Convention on Cultural Property Implementation Act)","Ancient Coin Collectors Guild v. U.S. Dep't of State, 641 F.3d 504, 511 (D.C. Cir. 2011) (19 U.S.C. 2605(h)); Ancient Coin Collectors Guild v. U.S. Dep't of State, 866 F. Supp. 2d 28, 32 (D.D.C. 2012) (19 U.S.C. 2605(i)).","Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee","1"
"Department of Veterans Affairs","Agency Overall","2015","5 U.S.C. app. 3 § 7(b)","","Names of employees who provide information or complaints to the Inspector General.","16"
"Department of Veterans Affairs","Agency Overall","2015","41 U.S.C. § 4702","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","76"
"Department of Veterans Affairs","Agency Overall","2015","41 U.S.C. § 2102","Legal & Safety Employer Research, Inc. v. U.S. Dep't. of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information, source selection information","24"
"Department of Veterans Affairs","Agency Overall","2015","38 U.S.C. § 5701","Ashton v. VA, No. 99-6018, 1999 WL 753331, at *1 (2d Cir. Sept. 3, 1999) (unpublished disposition).","""All files, records, reports, and other papers and documents pertaining to any claim under any of the laws administered by the Secretary and the names and addresses of present or former members of the Armed Forces, and their dependents, in the possession of [VA]""","141"
"Department of Veterans Affairs","Agency Overall","2015","38 U.S.C. § 5705","Schulte & Sun-Sentinel Co. v. VA, No. 86-6251, slip op. at 3-4, 12 (S.D. Fla. Feb. 2, 1996).","Records created by VA as part of its medical qualityassurance program; certain other information pertaining to VA's medical qualityassurance program","89"
"Department of Veterans Affairs","Agency Overall","2015","38 U.S.C. § 7332","Palmer v. Derwinski, No. 91-197, slip op. at 3-4 (E.D. Ky, June 10, 1992).","Records of patients being treated for certain conditions","2895"
"Department of Veterans Affairs","Agency Overall","2015","35 U.S.C. § 205","","Certain invention disclosure information","2"
"Department of Veterans Affairs","Agency Overall","2015","38 U.S.C. § 7451","","Information collected in VA nurse and other health-care personnel wage surveys.","1"
"Department of Veterans Affairs","Agency Overall","2015","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention  nformation","37"
"Department of Veterans Affairs","Agency Overall","2015","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"Department of Veterans Affairs","Agency Overall","2015","44 U.S.C. § 3501 (note)","","Confidential respondent data","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","N/A","N/A","N/A","0"
"Tennessee Valley Authority","Agency Overall","2015","16 U.S.C. § 470hh","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Information pertaining to the nature and location of certain archaeological resources","2"
"Tennessee Valley Authority","Agency Overall","2015","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Social Security Administration","Agency Overall","2015","26 U.S.C. § 6103","Church of Scientology v IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103);","Certain tax return information","10"
"Social Security Administration","Agency Overall","2015","41 U.S.C. § 253b(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No 09CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Contractor proposals that are in the possession or in control of an executive agency and that have not been set forth or incorporated by reference into contracts","2"
"Office of the Director of National Intelligence","Agency Overall","2015","50 U.S.C 3024(i)(1) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","108"
"Office of the Director of National Intelligence","Agency Overall","2015","50 U.S.C. § 403g (currently at 50 U.S.C. § 3507) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods, certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency.""","50"
"Department of Energy","Agency Overall","2015","41 U.S.C. § 2102","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid information, proposal information, or source selection information","9"
