"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"National Railroad Passenger Corporation","Agency Overall","2015","124400.00","0.00","124400.00","585.25","0.4700"
"Consumer Financial Protection Bureau","Agency Overall","2015","622290.00","5000.00","627290.00","27742.47","4.4600"
"United States African Development Foundation","Agency Overall","2015","5961.00","0.00","5961.00","0.00","0.0000"
"Inter-American Foundation","Agency Overall","2015","10000.00","0.00","10000.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","77036.00","0.00","77036.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2015","2041324.00","30200.00","2071524.00","16220.41","0.7900"
"National Science Foundation","Agency Overall","2015","243329.17","0.00","243329.17","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2015","50000.00","0.00","50000.00","0.00","0.0000"
"U.S. Agency for Global Media","Agency Overall","2015","131570.00","0.00","131570.00","6348.20","4.8200"
"U.S. Department of State","Agency Overall","2015","29416609.00","3991167.10","33407776.10","8245.26","0.0300"
"Department of Veterans Affairs","Agency Overall","2015","13178519.66","114459.89","13292979.55","61940.06","0.4700"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","43057.00","0.00","43057.00","0.00","0.0000"
"Tennessee Valley Authority","Agency Overall","2015","235534.00","0.00","235534.00","2350.10","1.0000"
"Social Security Administration","Agency Overall","2015","3595953.11","30945.06","3626898.17","672765.90","18.7100"
"Office of the Director of National Intelligence","Agency Overall","2015","1200000.00","169636.33","1369636.33","0.00","0.0000"
"Department of Energy","Agency Overall","2015","9856694.42","293090.04","10149784.46","14283.22","0.1400"
"Federal Maritime Commission","Agency Overall","2015","331838.00","0.00","331838.00","250.25","0.0800"
"Department of Homeland Security","Agency Overall","2015","51918432.79","1414674.17","53333106.96","332852.73","0.6400"
"United States Copyright Office","Agency Overall","2015","24230.61","0.00","24230.61","0.00","0.0000"
"United States Postal Service","Agency Overall","2015","2372332.00","26124.00","2398456.00","20899.00","0.8800"
"Federal Energy Regulatory Commission","Agency Overall","2015","555087.00","0.00","555087.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2015","1934263.00","0.00","1934263.00","37346.10","1.9300"
"Farm Credit System Insurance Corporation","Agency Overall","2015","1000.00","0.00","1000.00","100.00","10.0000"
"Institute of Museum and Library Services","Agency Overall","2015","18245.25","0.00","18245.25","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2015","221922.84","0.00","221922.84","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2015","57461.00","1500.00","58961.00","232.00","0.4000"
"Federal Trade Commission","Agency Overall","2015","728816.00","37486.00","766302.00","46559.00","6.3900"
"Nuclear Regulatory Commission","Agency Overall","2015","2829193.00","0.00","2829193.00","25874.00","0.9100"
"Federal Financial Institutions Examination Council","Agency Overall","2015","8080.00","0.00","8080.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2015","373341.57","0.00","373341.57","91242.56","24.4400"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","86351.40","0.00","86351.40","0.00","0.0000"
"Department of Justice","Agency Overall","2015","62481252.40","11035308.88","73516561.28","77471.87","0.1200"
"Department of Commerce","Agency Overall","2015","15219439.24","157326.04","15376765.28","44194.64","0.2900"
"Selective Service System","Agency Overall","2015","2348.25","0.00","2348.25","0.00","0.0000"
