"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"National Railroad Passenger Corporation","Agency Overall","2015","2014-09-16","261","2014-08-04","291","2014-07-10","308","2014-05-20","343","2014-04-21","364","2013-11-18","469","2013-10-31","480","2013-10-10","494","2013-10-08","496","2013-05-06","604"
"Consumer Financial Protection Bureau","Agency Overall","2015","2015-09-17","9","2015-09-11","13","2015-09-11","13","2015-09-10","14","2015-08-24","5","2015-08-24","11","2015-08-10","17","2015-07-29","22","2015-07-27","21","2015-07-10","21"
"United States African Development Foundation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","2015-08-26","24","2015-08-06","38","2015-07-24","47","2015-07-10","57","2015-06-24","68","2015-06-12","76","2015-05-29","86","2015-05-07","101","2015-04-22","112","2015-04-22","112"
"National Science Foundation","Agency Overall","2015","2011-12-12","954","2011-12-07","957","2011-07-20","1053","2011-07-18","1055","2011-07-05","1064","2011-06-30","1066","2011-06-27","1069","2011-06-27","1069","2011-06-27","1069","2011-06-08","1082"
"Office of National Drug Control Policy","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-24","5","2015-09-14","12","2015-08-06","39"
"U.S. Agency for Global Media","Agency Overall","2015","N/A","0","N/A","0","N/A","0","2015-09-25","5","2015-09-23","7","2015-09-21","9","2015-08-04","37","2015-07-20","70","2015-05-27","98","2014-04-15","481"
"U.S. Department of State","Agency Overall","2015","2006-08-04","2382","2006-08-03","2383","2006-07-31","2385","2006-07-11","2400","2006-06-27","2410","2006-06-01","2428","2006-05-31","2429","2006-05-19","2437","2006-05-17","2439","2006-04-02","2471"
"Department of Veterans Affairs","Agency Overall","2015","2012-10-23","737","2012-10-09","747","2012-09-20","759","2012-09-06","769","2012-08-03","792","2012-05-14","849","2012-01-20","929","2011-11-15","973","2011-09-29","1004","2011-09-13","1016"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-30","1","2015-09-30","1","2015-06-01","85"
"Tennessee Valley Authority","Agency Overall","2015","2015-08-31","22","2015-08-31","22","2015-08-31","22","2015-08-31","22","2015-08-31","22","2015-08-31","22","2015-08-10","37","2015-08-06","39","2015-07-23","49","2015-06-29","66"
"Social Security Administration","Agency Overall","2015","2015-02-18","274","2015-02-09","283","2015-02-06","290","2015-01-08","292","2014-11-26","301","2014-11-19","310","2014-10-31","320","2014-10-31","351","2014-09-17","370","2014-08-07","389"
"Office of the Director of National Intelligence","Agency Overall","2015","2012-02-29","1310","2012-02-13","1326","2012-02-10","1329","2011-12-19","1382","2011-10-12","1450","2011-10-11","1451","2011-10-11","1451","2011-10-11","1451","2010-03-01","2040","2009-05-13","2332"
"Department of Energy","Agency Overall","2015","2009-07-01","1568","2009-06-30","1569","2009-05-13","1602","2009-01-27","1677","2009-01-07","1690","2008-12-17","1703","2008-01-11","1938","2007-10-24","1991","2007-10-23","1992","2007-10-22","1993"
"Federal Maritime Commission","Agency Overall","2015","2015-08-06","38","2015-06-18","72","2015-05-20","92","2014-10-20","238","2014-09-12","263","2013-11-27","462","2013-04-20","615","2013-03-29","630","2012-09-11","767","2012-03-21","888"
"Department of Homeland Security","Agency Overall","2015","2010-06-08","1387","2010-06-08","1387","2010-06-08","1387","2010-05-26","1396","2010-05-17","1403","2010-05-07","1409","2010-04-20","1422","2010-03-12","1449","2009-10-26","1548","2009-01-30","1739"
"United States Copyright Office","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-29","2","2015-09-29","2","2015-09-21","8","2015-09-21","8","2015-08-17","43"
"United States Postal Service","Agency Overall","2015","2013-04-08","624","2013-02-22","655","2013-02-19","658","2012-10-05","748","2012-06-25","820","2012-05-02","857","2012-02-01","921","2011-12-14","953","2011-05-17","1098","2010-02-22","1409"
"Federal Energy Regulatory Commission","Agency Overall","2015","2015-06-09","49","2015-05-21","87","2015-04-01","127","2015-03-03","148","2014-12-22","195","2014-07-11","274","2014-04-04","370","2013-09-27","503","2013-08-21","527","2013-07-18","551"
"Small Business Administration","Agency Overall","2015","2015-09-17","10","2015-09-14","13","2015-09-02","20","2015-08-25","26","2015-07-29","46","2015-07-27","48","2015-07-16","54","2015-07-15","55","2015-05-27","89","2014-10-08","245"
"Farm Credit System Insurance Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-25","3","2015-09-25","3","2015-09-17","9"
"National Indian Gaming Commission","Agency Overall","2015","2015-06-03","83","2015-04-23","111","2015-04-14","118","2015-01-15","179","2014-10-24","223","2014-10-22","225","2014-03-14","381","2014-03-05","390","2013-12-19","445","2013-03-07","643"
"U.S. Railroad Retirement Board","Agency Overall","2015","2014-10-17","252","2014-06-03","376","2014-05-07","404","2014-02-04","445","2014-01-07","467","2014-01-07","467","2013-12-05","500","2013-11-14","522","2013-11-14","522","2013-08-26","531"
"Federal Trade Commission","Agency Overall","2015","2015-08-24","26","2015-08-18","30","2015-08-04","40","2015-07-23","48","2015-07-20","51","2015-07-14","55","2015-07-08","59","2015-07-06","61","2015-01-29","169","2015-01-07","184"
"Nuclear Regulatory Commission","Agency Overall","2015","2015-08-31","21","2015-08-21","27","2015-08-18","30","2015-08-12","34","2015-08-11","35","2015-08-05","39","2015-07-22","49","2015-06-09","79","2015-06-04","82","2015-06-03","83"
"Federal Financial Institutions Examination Council","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","2014-11-18","218","2014-09-25","254","2014-09-25","254","2014-09-25","254","2014-08-21","278","2014-08-04","291","2014-07-22","300","2014-07-02","313","2014-06-20","321","2013-11-05","477"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-15","11","2015-09-14","12","2015-08-20","28","2015-07-30","43"
"Department of Justice","Agency Overall","2015","2011-03-08","1146","2011-03-03","1150","2011-02-25","1153","2011-02-25","1153","2011-02-02","1170","2011-01-19","1179","2011-01-05","1188","2010-12-02","1210","2010-11-15","1222","2010-11-15","1222"
"Department of Commerce","Agency Overall","2015","2011-09-02","1023","2011-08-03","1045","2011-07-14","1059","2011-07-13","1060","2011-06-14","1080","2011-06-08","1084","2011-05-26","1092","2011-04-05","1129","2010-12-29","1195","2009-09-22","1505"
"Selective Service System","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","2015-04-09","120","2015-04-01","126","2015-03-30","128","2015-03-26","130","2014-10-30","134","2015-03-19","135","2015-03-16","138","2015-03-12","140","2015-03-11","141","2014-11-12","221"
"Consumer Product Safety Commission","Agency Overall","2015","2011-10-24","988","2011-09-28","1005","2011-09-08","1019","2011-07-26","1050","2011-06-08","1083","2010-10-26","1237","2010-02-16","1413","2009-07-22","1554","2009-07-21","1555","2009-06-20","1569"
"Legal Services Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-28","2","2015-09-28","2","2015-09-23","5","2015-08-27","23","2015-08-26","24","2015-08-08","36"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","2015-08-27","24","2015-05-26","90","2015-04-23","112","2015-04-21","114","2015-04-16","117","2015-02-06","165"
"Central Intelligence Agency","Agency Overall","2015","2007-11-15","2877","2007-06-05","3040","2007-05-31","3045","2007-05-21","3055","2007-05-21","3055","2007-05-21","3055","2007-02-16","3149","2006-08-11","3338","2006-07-13","3367","2005-09-08","3675"
"Occupational Safety and Health Review Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2015","2015-07-07","60","2015-07-07","60","2015-03-26","131","2015-03-16","139","2015-03-13","139","2015-03-06","145","2015-01-20","177","2015-01-20","177","2015-01-16","178","2013-03-28","631"
"United States Access Board","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2015","2015-02-02","168","2015-01-30","169","2015-01-20","177","2014-12-19","195","2014-12-16","198","2014-12-16","198","2014-11-21","214","2014-10-27","232","2014-10-06","246","2014-09-18","258"
"Office of Management and Budget","Agency Overall","2015","2013-11-26","463","2013-11-22","465","2013-11-19","468","2013-10-22","487","2013-10-21","488","2013-09-25","505","2013-07-25","547","2013-07-19","552","2013-05-20","592","2013-05-15","597"
"Administrative Conference of the United States","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-25","6"
"Federal Election Commission","Agency Overall","2015","2013-08-07","513","2013-08-07","513","2013-08-28","520","2013-08-23","523","2013-08-07","538","2013-08-07","538","2013-08-07","538","2013-07-25","547","2012-10-18","738","2011-06-09","1082"
"National Endowment for the Humanities","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-29","2","2015-09-29","2","2015-09-25","4","2015-09-08","17"
"Federal Mediation and Conciliation Service","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-08","17","2015-09-03","19","2015-07-31","42","2015-07-06","62"
"Federal Reserve System","Agency Overall","2015","2015-07-14","56","2015-07-02","63","2015-06-18","73","2015-05-18","95","2015-05-05","104","2015-04-24","111","2015-03-16","140","2015-02-27","150","2015-02-27","150","2014-10-21","235"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","N/A","0","N/A","0","N/A","0","2015-09-30","1","2015-09-25","3","2015-09-24","4","2015-09-24","4","2015-09-24","4","2015-09-22","6","2015-08-27","23"
"Department of Agriculture","Agency Overall","2015","2011-11-16","970","2011-11-16","970","2011-11-15","971","2011-10-31","981","2011-10-13","993","2011-07-27","1047","2011-03-25","1133","2010-12-15","1201","2010-03-12","1393","2010-01-19","1430"
"Office of Special Counsel","Agency Overall","2015","2011-12-27","945","2011-11-22","968","2011-10-19","991","2011-10-17","993","2011-08-16","1035","2011-08-16","1035","2011-06-23","1072","2011-06-01","1088","2011-05-09","1104","2011-02-04","1169"
"U.S. Agency for International Development","Agency Overall","2015","2012-04-09","874","2012-04-09","874","2012-03-05","899","2012-02-09","915","2011-11-23","967","2011-11-22","968","2011-11-17","971","2011-09-22","1009","2011-09-21","1010","2011-01-06","1189"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","2015-09-10","14","2015-09-10","14","2015-09-10","14","2015-09-09","15","2015-09-04","17","2015-09-04","17","2015-09-04","17","2015-09-04","17","2015-09-03","18","2015-09-03","18"
"Department of Labor","Agency Overall","2015","2012-04-04","550","2012-04-04","550","2012-03-27","884","2012-03-11","895","2012-02-17","910","2012-01-11","934","2011-09-20","1000","2010-08-19","1284","2010-08-13","1291","2010-08-13","1291"
"United States International Boundary and Water Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-30","1"
"Department of the Treasury","Agency Overall","2015","2011-07-27","1050","2011-06-30","1068","2011-06-07","1085","2011-05-31","1090","2011-05-09","1105","2011-02-09","1167","2010-07-27","1301","2008-09-18","1765","2008-01-28","1929","2007-03-05","2155"
"Overseas Private Investment Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-07-06","63","2015-01-29","175","2015-01-06","191","2014-09-16","262","2014-03-27","375"
"National Endowment for the Arts","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-02-14","907"
"Council on Environmental Quality","Agency Overall","2015","2013-09-24","547","2013-08-26","567","2013-08-22","569","2013-08-22","569","2013-08-16","573","2013-07-22","592","2013-07-16","596","2013-03-25","675","2013-02-12","703","2010-04-08","1418"
"Millennium Challenge Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2015","2010-09-30","1243","2010-07-30","1286","2010-07-30","1286","2010-07-09","1301","2010-06-15","1318","2010-04-16","1359","2010-04-01","1360","2010-03-16","1382","2010-03-15","1383","2010-03-15","1383"
"Securities and Exchange Commission","Agency Overall","2015","2013-09-30","501","2013-08-09","536","2013-08-08","537","2013-06-14","575","2013-06-11","578","2013-06-10","579","2013-03-14","640","2013-03-11","643","2013-02-14","659","2010-09-13","1266"
"Department of Transportation","Agency Overall","2015","2011-12-15","951","2011-12-01","961","2011-11-19","963","2011-11-25","965","2011-10-12","995","2011-10-07","997","2011-09-06","1020","2011-08-16","1034","2011-08-08","1040","2011-08-04","1042"
"Armed Forces Retirement Home","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-15","1"
"Court Services and Offender Supervision Agency","Agency Overall","2015","2015-05-15","95","2015-05-14","96","2015-05-14","96","2015-05-11","99","2015-04-09","121","2015-03-09","144","2015-03-03","148","2015-01-26","172","2015-01-20","176","2014-12-08","204"
"American Battle Monuments Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2015","2012-06-26","808","2012-06-25","809","2012-06-19","813","2012-06-18","814","2012-06-14","816","2012-06-12","818","2012-05-24","830","2012-03-26","873","2012-03-16","879","2012-01-11","924"
