"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Securities and Exchange Commission","Agency Overall","2017","7","12.5","<1","445","786","733","309","1016","14.5","12.75","4","18"
"Institute of Museum and Library Services","Agency Overall","2017","18","20.1","4","43","47","56.71","27","98","9","9","9","9"
"Office of National Drug Control Policy","Agency Overall","2017","8","18","1","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2017","15","32","<1","214","157","145","101","157","6","6","4","9"
"Central Intelligence Agency","Agency Overall","2017","13","28.91","1","695","201.5","319.36","4","2713","12","12","12","12"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","20","23","1","88","113","115","6","267","17","17","17","17"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","9","8.5","3","14","49","49","38","60","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2017","3","5.73","<1","40","21","27.12","<1","217","16","16","10","22"
"Legal Services Corporation","Agency Overall","2017","13.75","13.08","1","43","N/A","N/A","N/A","N/A","12.5","13.25","9","19"
"Selective Service System","Agency Overall","2017","4","4","1","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2017","6","8","1","29","11","15","1","41","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2017","3.5","3.6","<1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2017","11","10.99","<1","38","37","55.85","21","322","22","34.68","1","120"
"Inter-American Foundation","Agency Overall","2017","7","7","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2017","10","64","1","1112","92","290","1","1449","16","16","6","27"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","8","10.58","<1","24","N/A","N/A","N/A","N/A","1.5","1.5","<1","2"
"Department of Education","Agency Overall","2017","11","14.18","<1","492","58","124","<1","1764","73","73","17","129"
"Millennium Challenge Corporation","Agency Overall","2017","12","11.5","1","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","N/A","N/A","N/A","N/A","32","48.6","5","181","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2017","393","390.17","1","2076","478","650.41","3","2822","500","416.1","11","1228"
"Department of the Treasury","Agency Overall","2017","6","18","<1","1508","14","36","<1","2286","30","52","<1","222"
"Consumer Financial Protection Bureau","Agency Overall","2017","8","10.97","<1","78","36","38.55","23","86","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","1","3","<1","25","6","12.4","1","43","1","1","<1","1"
"Office of Management and Budget","Agency Overall","2017","23","87","1","888","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2017","7","27.9","1","2535","10","31.3","1","2523","9","20.8","1","616"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","5","5.98","<1","26","15","18.35","<1","249","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2017","5.5","6.9","<1","13","N/A","N/A","N/A","N/A","3","3","3","3"
"Federal Open Market Committee","Agency Overall","2017","4","8.3","<1","20","137","121.8","81","144","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2017","7","8.93","<1","69","27","30.39","3","139","18","20.33","3","65"
"National Archives and Records Administration","Agency Overall","2017","<1","8.65","<1","2917","563.5","882.9","<1","5820","1","9.8","<1","44"
"Farm Credit System Insurance Corporation","Agency Overall","2017","14","12","1","20","N/A","N/A","N/A","N/A","3","3","3","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","3","9","<1","57","36","34","4","49","2","11","1","18"
"Federal Trade Commission","Agency Overall","2017","4","5.7","<1","88","17","33","<1","402","19","18","8","27"
"Office of Personnel Management","Agency Overall","2017","1","3.1","1","848","20","30.9","1","810","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2017","12","12","1","22","20","24","18","31","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2017","4","9.12","1","539","23","89.58","1","1182","6","7","1","16"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","10","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2017","18","13.7","1","20","24.5","24.5","19","30","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2017","10","10.78","<1","37","150.5","291.48","<1","1314","534","590.25","381","947"
"National Credit Union Administration","Agency Overall","2017","2","4.24","<1","20","27","32.94","2","131","10.5","10.5","5","16"
