"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Securities and Exchange Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","1","9","10"
"Institute of Museum and Library Services","Agency Overall","2017","0","3","1","2","1","0","0","0","0","0","0","0","0","7"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","0","0","0","0","1","0","5","0","0","0","0","0","6"
"Central Intelligence Agency","Agency Overall","2017","11","23","39","36","29","28","17","25","23","18","86","42","125","502"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","2","0","2","0","2","0","2","2","0","0","2","0","0","12"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"National Aeronautics and Space Administration","Agency Overall","2017","167","110","25","16","7","6","3","0","1","2","1","0","0","338"
"Legal Services Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","8","2","1","0","0","0","0","0","0","0","0","0","0","11"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","0","270","82","48","21","14","17","7","4","5","13","1","0","482"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","43","33","21","3","15","6","5","6","3","1","16","12","60","224"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2017","114","367","211","138","76","61","38","34","34","23","103","53","79","1331"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","8","7","1","4","3","1","0","0","0","1","0","0","0","25"
"U.S. Department of State","Agency Overall","2017","44","119","1162","218","290","326","242","220","1053","1090","4002","3205","2430","14401"
"Department of the Treasury","Agency Overall","2017","3992","1445","652","281","163","100","61","52","26","28","85","52","117","7054"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","1","16","15","1","0","0","0","0","0","0","0","0","33"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","15","2","1","0","0","0","0","0","0","0","0","0","0","18"
"Office of Management and Budget","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","7269","1517","525","215","139","96","46","25","18","19","52","39","158","10118"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","810","277","27","13","6","2","4","3","2","0","3","0","0","1147"
"National Mediation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","1","1","2","1","0","0","0","0","0","5"
"Federal Deposit Insurance Corporation","Agency Overall","2017","34","51","11","4","2","0","1","0","0","0","0","0","0","103"
"National Archives and Records Administration","Agency Overall","2017","64","9","9","10","7","0","6","4","7","6","30","67","431","650"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","4","2","0","0","0","0","0","0","0","0","0","0","7"
"Federal Trade Commission","Agency Overall","2017","310","96","41","25","18","11","5","4","3","4","7","1","1","526"
"Office of Personnel Management","Agency Overall","2017","1567","918","47","38","30","16","18","11","6","9","31","22","15","2728"
"National Endowment for the Arts","Agency Overall","2017","6","4","0","0","0","0","0","0","0","0","0","0","0","10"
"United States Postal Service","Agency Overall","2017","123","118","32","6","9","2","2","1","0","5","5","2","22","327"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Agency for International Development","Agency Overall","2017","61","22","12","13","11","14","12","14","12","5","22","23","83","304"
"National Credit Union Administration","Agency Overall","2017","23","15","6","6","2","0","1","0","0","0","0","0","0","53"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","3","1","0","1","0","0","0","0","0","0","0","0","0","5"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2017","24","13","13","10","5","2","2","2","2","0","0","0","0","73"
"Department of Transportation","Agency Overall","2017","513","561","218","123","104","43","43","29","27","23","119","293","208","2304"
"United States Trade and Development Agency","Agency Overall","2017","3","3","4","3","1","0","0","2","0","1","0","0","3","20"
"Federal Communications Commission","Agency Overall","2017","6","25","22","10","7","2","0","7","3","1","2","0","0","85"
"Tennessee Valley Authority","Agency Overall","2017","0","37","8","7","1","0","0","2","1","1","3","1","0","61"
"U.S. Agency for Global Media","Agency Overall","2017","13","14","7","5","14","5","1","1","1","0","4","0","0","65"
"Environmental Protection Agency","Agency Overall","2017","362","302","246","123","86","65","43","25","24","21","112","67","282","1758"
"Nuclear Regulatory Commission","Agency Overall","2017","42","20","9","10","10","3","4","3","1","1","12","0","0","115"
"Administrative Conference of the United States","Agency Overall","2017","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of the Interior","Agency Overall","2017","2779","923","409","234","131","92","63","57","44","28","111","49","67","4987"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Office of Special Counsel","Agency Overall","2017","5","2","3","4","2","0","1","0","0","0","3","2","26","48"
"United States Copyright Office","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2017","10233","1835","936","687","627","520","450","467","322","314","1336","587","1127","19441"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","143","86","54","37","27","10","19","20","13","10","32","23","22","496"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","1","0","1","0","2","0","0","0","0","0","2","3","3","12"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","5","1","0","0","1","1","0","1","0","1","0","1","1","12"
"United States International Trade Commission","Agency Overall","2017","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"National Endowment for the Humanities","Agency Overall","2017","5","1","1","0","0","1","0","0","0","0","0","0","0","8"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","1","1","2","1","1","1","1","0","0","0","2","1","0","11"
"Merit Systems Protection Board","Agency Overall","2017","5","4","0","2","1","0","0","1","1","0","2","1","6","23"
"Department of Defense","Agency Overall","2017","9031","3870","1514","937","572","491","389","313","242","206","741","510","1488","20304"
"Federal Energy Regulatory Commission","Agency Overall","2017","7","16","0","2","1","1","0","0","0","0","0","0","0","27"
"Department of Agriculture","Agency Overall","2017","653","278","129","86","49","37","39","28","19","23","75","33","92","1541"
"Social Security Administration","Agency Overall","2017","15","25","20","36","9","19","9","6","0","7","3","0","8","157"
"Federal Reserve System","Agency Overall","2017","71","49","24","23","17","18","16","11","7","3","11","9","2","261"
"Commission of Fine Arts","Agency Overall","2017","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2017","1","8","3","5","2","2","0","4","2","2","10","6","3","48"
"Council on Environmental Quality","Agency Overall","2017","12","7","2","6","9","4","4","3","3","0","10","9","15","84"
"American Battle Monuments Commission","Agency Overall","2017","14","10","5","0","0","0","0","0","0","0","0","0","0","29"
"Surface Transportation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
