"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Securities and Exchange Commission","Agency Overall","2017","1","3","0","0","0","0","0","0","0","0","0","0","0","4"
"Institute of Museum and Library Services","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Central Intelligence Agency","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Legal Services Corporation","Agency Overall","2017","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Selective Service System","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","18","12","5","4","3","2","0","0","0","0","0","0","0","44"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Department of Education","Agency Overall","2017","1","0","0","0","0","0","1","0","0","0","0","0","0","2"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","17","14","20","16","12","26","12","11","23","12","21","19","120","323"
"Department of the Treasury","Agency Overall","2017","15","19","6","5","2","1","1","2","3","1","1","0","0","56"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Office of Management and Budget","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","99","16","4","1","0","0","0","0","0","0","0","1","1","122"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","12","7","1","1","0","0","0","0","0","0","0","0","0","21"
"National Archives and Records Administration","Agency Overall","2017","4","0","1","0","0","0","0","0","0","0","0","0","0","5"
"Farm Credit System Insurance Corporation","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Trade Commission","Agency Overall","2017","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of Personnel Management","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2017","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","1","7","8"
"National Credit Union Administration","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2017","1","2","0","0","1","0","0","0","0","0","0","0","0","4"
"Department of Transportation","Agency Overall","2017","18","3","0","1","0","0","0","1","0","0","0","0","4","27"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","69","26","8","3","5","0","0","1","0","0","0","0","0","112"
"Tennessee Valley Authority","Agency Overall","2017","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"U.S. Agency for Global Media","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Environmental Protection Agency","Agency Overall","2017","36","18","5","2","2","0","0","1","2","1","0","8","2","77"
"Nuclear Regulatory Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","24","16","16","7","0","0","0","2","0","0","1","0","1","67"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2017","6","1","1","3","4","0","0","0","1","1","2","5","15","39"
"United States Copyright Office","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2017","26","3","1","0","0","0","0","0","0","0","0","0","0","30"
"Department of Health and Human Services","Agency Overall","2017","11","8","4","4","1","0","1","1","2","2","0","10","21","65"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","8","3","1","1","0","0","0","0","0","0","0","0","0","13"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","2","0","1","0","0","0","0","0","0","0","0","0","0","3"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
