"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Securities and Exchange Commission","Agency Overall","2017","8","19.42","<1","390"
"Institute of Museum and Library Services","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2017","18","18","16","19"
"Central Intelligence Agency","Agency Overall","2017","1","137.58","1","2708"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","36","48","20","99"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2017","19.5","18.1","<1","52"
"Legal Services Corporation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2017","8","8","8","8"
"U.S. Commission on Civil Rights","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2017","20","43.13","1","177"
"Inter-American Foundation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2017","20","21","20","22"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","3","3","3","3"
"Department of Education","Agency Overall","2017","78","294.84","8","1717"
"Millennium Challenge Corporation","Agency Overall","2017","3","3","3","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2017","353","498.28","1","1956"
"Department of the Treasury","Agency Overall","2017","15","148","3","2256"
"Consumer Financial Protection Bureau","Agency Overall","2017","20","20.29","1","31"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","5","5","5","5"
"Office of Management and Budget","Agency Overall","2017","152","231","11","611"
"Department of Labor","Agency Overall","2017","252","354.8","2","1219"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","19","23.11","11","76"
"National Mediation Board","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2017","29","32.13","8","76"
"National Archives and Records Administration","Agency Overall","2017","350","329.82","5","867"
"Farm Credit System Insurance Corporation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","11","8","2","12"
"Federal Trade Commission","Agency Overall","2017","19","18.5","9","21"
"Office of Personnel Management","Agency Overall","2017","151","172","3","405"
"National Endowment for the Arts","Agency Overall","2017","<1","<1","<1","<1"
"United States Postal Service","Agency Overall","2017","18.5","30.93","1","526"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2017","206","219.67","15","457"
"National Credit Union Administration","Agency Overall","2017","18","15.6","4","20"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","83","65.33","20","93"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2017","33","43.76","<1","207"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","224","224","224","224"
"Equal Employment Opportunity Commission","Agency Overall","2017","18","22.91","<1","273"
"Department of Transportation","Agency Overall","2017","26","74.93","<1","672"
"United States Trade and Development Agency","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2017","25","81.62","1","401"
"Tennessee Valley Authority","Agency Overall","2017","18","16.7","7","20"
"U.S. Agency for Global Media","Agency Overall","2017","31","29.33","25","32"
"Environmental Protection Agency","Agency Overall","2017","40","228.24","<1","1802"
"Nuclear Regulatory Commission","Agency Overall","2017","15","23.99","<1","213"
"Administrative Conference of the United States","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2017","528","481","1","1771"
"U.S. Election Assistance Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","18","13.8","3","20"
"Office of Special Counsel","Agency Overall","2017","16","471.08","3","3048"
"United States Copyright Office","Agency Overall","2017","12","12","12","12"
"National Labor Relations Board","Agency Overall","2017","20","33","10","109"
"Department of Health and Human Services","Agency Overall","2017","287","347.38","<1","1202"
"United States Institute of Peace","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2017","21","50.66","<1","571"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2017","15.5","83.5","1","329"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2017","19","19","19","19"
"United States International Trade Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2017","19.5","19.5","19","20"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2017","48.5","52.9","<1","178"
"Department of Defense","Agency Overall","2017","123.842105263158","177.210526315789","1","2718"
"Federal Energy Regulatory Commission","Agency Overall","2017","23","34","5","177"
"Department of Agriculture","Agency Overall","2017","209.5","344.68","<1","2620"
"Social Security Administration","Agency Overall","2017","29","43","1","371"
"Federal Reserve System","Agency Overall","2017","39","64","19","234"
"Commission of Fine Arts","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2017","17","17","17","17"
"Council on Environmental Quality","Agency Overall","2017","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2017","25.5","25.5","10","41"
"Surface Transportation Board","Agency Overall","2017","9","9","9","9"
"Department of Veterans Affairs","Agency Overall","2017","80","161","<1","923"
"Federal Financial Institutions Examination Council","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2017","25","1.42","1","47"
"Court Services and Offender Supervision Agency","Agency Overall","2017","27","27","27","27"
"Occupational Safety and Health Review Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2017","29","29","20","37"
"U.S. Railroad Retirement Board","Agency Overall","2017","N/A","N/A","21","21"
"Department of Commerce","Agency Overall","2017","18","60.92","<1","1196"
"United States International Boundary and Water Commission","Agency Overall","2017","14","14","14","14"
"Department of Justice","Agency Overall","2017","34","47.95","<1","871"
"National Indian Gaming Commission","Agency Overall","2017","76.5","97.5","21","174"
"Office of the United States Trade Representative","Agency Overall","2017","3","3","1","6"
"National Council on Disability","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2017","9","26.08","<1","2013"
"Federal Housing Finance Agency","Agency Overall","2017","11","11.67","4","18"
"Consumer Product Safety Commission","Agency Overall","2017","24","30","10","73"
"Denali Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2017","182","474.22","26","1353"
"Social Security Advisory Board","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2017","8.5","14.39","N/A","193"
"Farm Credit Administration","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2017","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2017","12","12","4","20"
"Office of Government Ethics","Agency Overall","2017","19","18.56","14","22"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2017","78","120.78","24","315"
"Peace Corps","Agency Overall","2017","29.5","27.15","11","50"
"Federal Labor Relations Authority","Agency Overall","2017","19.5","19.5","17","22"
