"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Commodity Futures Trading Commission","Agency Overall","2018","0","0"
"Merit Systems Protection Board","Agency Overall","2018","28","104"
"United States African Development Foundation","Agency Overall","2018","0","0"
"Securities and Exchange Commission","Agency Overall","2018","1386","665271"
"Department of Homeland Security","Agency Overall","2018","1343","0"
"National Indian Gaming Commission","Agency Overall","2018","1","11"
"Office of Government Ethics","Agency Overall","2018","147","76"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","18"
"National Mediation Board","Agency Overall","2018","6","739"
"U.S. Agency for Global Media","Agency Overall","2018","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","7","104"
"Department of Agriculture","Agency Overall","2018","719","97228"
"Court Services and Offender Supervision Agency","Agency Overall","2018","3","2"
"General Services Administration","Agency Overall","2018","63","2673"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0"
"Peace Corps","Agency Overall","2018","480","1837"
"Department of Education","Agency Overall","2018","6094","0"
"Office of National Drug Control Policy","Agency Overall","2018","12","1"
"Department of Housing and Urban Development","Agency Overall","2018","0","0"
"Armed Forces Retirement Home","Agency Overall","2018","",""
"National Capital Planning Commission","Agency Overall","2018","0","614"
"Federal Communications Commission","Agency Overall","2018","5","7206256"
"Legal Services Corporation","Agency Overall","2018","713","2533"
"United States International Trade Commission","Agency Overall","2018","1","126"
"Inter-American Foundation","Agency Overall","2018","2","90"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","2","0"
"Department of the Treasury","Agency Overall","2018","241","3716"
"Office of Personnel Management","Agency Overall","2018","0","580"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","11","79"
"United States Trade and Development Agency","Agency Overall","2018","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","2282","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","15","651"
"National Railroad Passenger Corporation","Agency Overall","2018","0","281"
"Department of Health and Human Services","Agency Overall","2018","478","35325"
"U.S. Department of State","Agency Overall","2018","19929","2"
"Occupational Safety and Health Review Commission","Agency Overall","2018","40","88"
"Office of the United States Trade Representative","Agency Overall","2018","34","19"
"Federal Reserve System","Agency Overall","2018","0","14"
"U.S. Agency for International Development","Agency Overall","2018","2","117"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0"
"Small Business Administration","Agency Overall","2018","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","1","3660"
"Presidio Trust","Agency Overall","2018","0","47"
"Office of Science and Technology Policy","Agency Overall","2018","47","0"
"Farm Credit Administration","Agency Overall","2018","27","0"
"Federal Housing Finance Agency","Agency Overall","2018","0","9"
"Department of Commerce","Agency Overall","2018","3197","2682447"
"United States Institute of Peace","Agency Overall","2018","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","26","415"
"Overseas Private Investment Corporation","Agency Overall","2018","0","1"
"Selective Service System","Agency Overall","2018","6","40"
"Export-Import Bank of the U.S.","Agency Overall","2018","22","0"
"United States International Boundary and Water Commission","Agency Overall","2018","250","300"
"Department of Justice","Agency Overall","2018","974","4768"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0"
"United States Access Board","Agency Overall","2018","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0"
"Office of Management and Budget","Agency Overall","2018","17","115"
"Federal Financial Institutions Examination Council","Agency Overall","2018","11","15"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","1","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","846","0"
"Central Intelligence Agency","Agency Overall","2018","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","3","522"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0"
"National Council on Disability","Agency Overall","2018","0","30"
"Postal Regulatory Commission","Agency Overall","2018","2","3244"
"Farm Credit System Insurance Corporation","Agency Overall","2018","",""
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","11"
"Federal Maritime Commission","Agency Overall","2018","0","12"
"National Labor Relations Board","Agency Overall","2018","1537","3585"
"National Aeronautics and Space Administration","Agency Overall","2018","3","1"
"Department of Veterans Affairs","Agency Overall","2018","27","0"
"Commission of Fine Arts","Agency Overall","2018","0","0"
"Department of Energy","Agency Overall","2018","7","8530"
"Environmental Protection Agency","Agency Overall","2018","113","0"
"National Endowment for the Humanities","Agency Overall","2018","108","192"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0"
"Department of Labor","Agency Overall","2018","858","0"
"Federal Labor Relations Authority","Agency Overall","2018","6","185"
"National Science Foundation","Agency Overall","2018","0","229"
"Federal Energy Regulatory Commission","Agency Overall","2018","2","200"
"Federal Trade Commission","Agency Overall","2018","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","127"
"Office of Special Counsel","Agency Overall","2018","42","156"
"United States Postal Service","Agency Overall","2018","134","6625"
"Equal Employment Opportunity Commission","Agency Overall","2018","10","2700"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","67"
"Department of the Interior","Agency Overall","2018","418","21852"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","400"
"Denali Commission","Agency Overall","2018","0","0"
"National Archives and Records Administration","Agency Overall","2018","30","17223575"
"United States Copyright Office","Agency Overall","2018","0","0"
"Social Security Administration","Agency Overall","2018","45","0"
"National Transportation Safety Board","Agency Overall","2018","3746","5158"
"Administrative Conference of the United States","Agency Overall","2018","6","258"
"National Credit Union Administration","Agency Overall","2018","6","421"
"Surface Transportation Board","Agency Overall","2018","0","11"
