"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","6","0","0","6"
"Surface Transportation Board","Agency Overall","2019","0","0","0","1","1"
"Commodity Futures Trading Commission","Agency Overall","2019","1","0","1","0","2"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","1","0","0","0","1"
"Office of Management and Budget","Agency Overall","2019","3","0","0","9","12"
"Environmental Protection Agency","Agency Overall","2019","37","22","37","91","187"
"Federal Housing Finance Agency","Agency Overall","2019","4","0","0","1","5"
"Consumer Product Safety Commission","Agency Overall","2019","2","3","4","0","9"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","3","0","0","0","3"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","6","5","1","5","17"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","0","0","0","1"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0","0"
"Social Security Administration","Agency Overall","2019","251","104","172","42","569"
"Department of Labor","Agency Overall","2019","26","17","63","212","318"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0"
"Department of Defense","Agency Overall","2019","332","105","169","344","950"
"Department of Justice","Agency Overall","2019","1948","109","320","832","3209"
"Office of the Director of National Intelligence","Agency Overall","2019","0","0","0","31","31"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","1","0","0","1"
"Department of the Treasury","Agency Overall","2019","123","4","6","4","137"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","54","17","24","24","119"
"Department of the Interior","Agency Overall","2019","22","4","39","51","116"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","5","0","1","10","16"
"Office of Special Counsel","Agency Overall","2019","6","2","0","0","8"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","2","1","0","0","3"
"Department of Agriculture","Agency Overall","2019","35","122","15","162","334"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","264","61","53","2","380"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","5","0","0","4","9"
"Council on Environmental Quality","Agency Overall","2019","2","1","0","1","4"
"Peace Corps","Agency Overall","2019","2","1","3","0","6"
"General Services Administration","Agency Overall","2019","9","9","0","6","24"
"Merit Systems Protection Board","Agency Overall","2019","6","3","0","1","10"
"Federal Communications Commission","Agency Overall","2019","3","1","0","11","15"
"Tennessee Valley Authority","Agency Overall","2019","6","1","0","0","7"
"Nuclear Regulatory Commission","Agency Overall","2019","42","0","7","44","93"
"Federal Energy Regulatory Commission","Agency Overall","2019","5","3","1","0","9"
"National Archives and Records Administration","Agency Overall","2019","62","23","22","20","127"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0","0"
"Department of Education","Agency Overall","2019","15","23","6","18","62"
"Department of Energy","Agency Overall","2019","21","4","7","12","44"
"National Commission on Military, National, and Public Service","Agency Overall","2019","1","1","0","0","2"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0","0"
"United States Access Board","Agency Overall","2019","2","0","0","1","3"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2019","1806","1860","1548","1027","6241"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0","0","0","0"
"Department of Commerce","Agency Overall","2019","23","15","8","22","68"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","11","4","13","3","31"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0","1","0","1"
"Federal Reserve System","Agency Overall","2019","6","1","1","1","9"
"Securities and Exchange Commission","Agency Overall","2019","452","46","72","17","587"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","1","8","1","0","10"
"United States International Boundary and Water Commission","Agency Overall","2019","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","25","10","6","2","43"
"National Science Foundation","Agency Overall","2019","2","1","0","0","3"
"Overseas Private Investment Corporation","Agency Overall","2019","1","2","0","0","3"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2019","0","1","0","0","1"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","63","12","34","159","268"
"Office of Personnel Management","Agency Overall","2019","33","9","11","44","97"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","1","0","1","0","2"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","0","0","1","1"
"Federal Election Commission","Agency Overall","2019","2","1","0","6","9"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","1","0","1"
"Office of Science and Technology Policy","Agency Overall","2019","1","0","0","1","2"
"Denali Commission","Agency Overall","2019","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2019","7","1","2","20","30"
"Selective Service System","Agency Overall","2019","2","0","0","0","2"
"Office of Government Ethics","Agency Overall","2019","0","0","1","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2019","1","1","0","0","2"
"Armed Forces Retirement Home","Agency Overall","2019","1","0","0","0","1"
"Department of Housing and Urban Development","Agency Overall","2019","20","7","3","10","40"
"Administrative Conference of the United States","Agency Overall","2019","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","1","0","0","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2019","6","2","1","3","12"
"Central Intelligence Agency","Agency Overall","2019","45","8","0","120","173"
"Small Business Administration","Agency Overall","2019","3","2","5","0","10"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2019","3","3","2","4","12"
"National Credit Union Administration","Agency Overall","2019","2","0","0","0","2"
"Department of Health and Human Services","Agency Overall","2019","20","5","13","92","130"
"Department of Veterans Affairs","Agency Overall","2019","97","4","58","117","276"
"Department of Transportation","Agency Overall","2019","24","24","24","20","92"
"National Council on Disability","Agency Overall","2019","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","1","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","2","0","1","0","3"
"Legal Services Corporation","Agency Overall","2019","3","0","1","0","4"
"U.S. Agency for Global Media","Agency Overall","2019","1","0","1","1","3"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0","0"
"All agencies","Agency Overall","2019","5972","2680","2761","3609","15022"
