"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","0","1","2","4","0","0","0","0","0","0","1","0"
"Surface Transportation Board","Agency Overall","2019","0","0","0","0","4","1","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","0","1","12","21","18","31","13","0","7","1","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","1","0","1","4","0","0","0","0","1","0","0","0"
"Office of Management and Budget","Agency Overall","2019","0","0","0","0","39","31","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2019","0","0","9","143","410","818","63","11","200","2","38","56","0","17"
"Federal Housing Finance Agency","Agency Overall","2019","0","1","1","16","16","36","6","0","22","3","17","0","3","0"
"Consumer Product Safety Commission","Agency Overall","2019","3","3","175","36","64","98","32","1","0","7","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","0","5","0","19","34","0","0","2","0","0","2","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","17","4","23","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","0","3","18","63","25","147","8","2","28","14","17","1","0","0"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","0","3","0","11","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2019","0","0","1","1","10","11","0","0","0","0","2","0","0","0"
"Social Security Administration","Agency Overall","2019","0","41","16","25","35","3566","7","0","16","1","21","1","0","0"
"Department of Labor","Agency Overall","2019","0","30","12","3884","2601","2309","1805","37","5487","2543","1042","5","0","10"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2019","1975","242","3710","3414","4188","12383","817","245","6074","263","2577","312","4","14"
"Department of Justice","Agency Overall","2019","768","437","2713","268","2207","10387","1901","531","9372","2483","5996","1857","2","1"
"Office of the Director of National Intelligence","Agency Overall","2019","15","0","246","1","7","16","0","0","1","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","10","14","5","234","1","0","224","2","20","1","0","0"
"Department of the Treasury","Agency Overall","2019","8","36","2034","128","581","858","473","3","979","26","1182","9","33","0"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","0","23","599","76","91","881","57","0","265","37","54","5","0","0"
"Department of the Interior","Agency Overall","2019","1","35","89","137","637","1410","153","6","665","30","57","25","0","6"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","1","12","36","90","27","152","6","1","27","1","24","2","0","0"
"Office of Special Counsel","Agency Overall","2019","0","0","14","1","66","113","1","3","105","16","2","0","0","0"
"Federal Maritime Commission","Agency Overall","2019","0","0","6","4","5","4","1","0","1","1","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","1","0","0","0","2","4","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2019","11","14","317","479","937","2579","128","10","1406","116","492","55","2","8"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0","3","0","0","0","0","0","0","0","2","0"
"U.S. Department of State","Agency Overall","2019","36","2","3934","7","29","195","7","0","109","4","17","2","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","0","9","30","27","432","1","0","2","0","2","0","0","0"
"Council on Environmental Quality","Agency Overall","2019","0","3","0","0","24","32","0","0","0","0","5","1","0","0"
"Peace Corps","Agency Overall","2019","0","7","0","1","8","25","0","0","5","3","4","0","0","0"
"General Services Administration","Agency Overall","2019","0","1","28","382","188","468","10","3","33","3","24","121","0","0"
"Merit Systems Protection Board","Agency Overall","2019","0","1","0","0","1","41","3","0","5","0","6","1","0","0"
"Federal Communications Commission","Agency Overall","2019","0","0","0","47","69","217","14","0","25","0","29","0","0","0"
"Tennessee Valley Authority","Agency Overall","2019","0","3","7","29","47","44","1","0","10","2","4","12","0","0"
"Nuclear Regulatory Commission","Agency Overall","2019","1","3","2","17","25","36","5","0","36","0","10","15","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2019","0","0","12","7","35","50","5","1","1","0","2","6","0","0"
"National Archives and Records Administration","Agency Overall","2019","318","25","326","24","24","498","5","0","233","431","104","20","2","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2019","1","3","10","183","256","1231","229","5","806","4","38","10","0","0"
"Department of Energy","Agency Overall","2019","4","6","43","78","130","317","4","0","57","0","23","7","0","1"
"National Commission on Military, National, and Public Service","Agency Overall","2019","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","0","1","1","7","12","1","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","1","3","0","0","0","0","0","1","0","0","0"
"Department of Homeland Security","Agency Overall","2019","18","378","48743","493","44035","193263","604","107","226859","406","236033","326","8","2"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","1","2","3","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","3","0","0","2","7","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2019","2","8","53","108","79","248","9","1","48","1","15","0","0","0"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
