"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2019","8","1","0","0","0","0","0","0","0","0","0","0","0","9"
"Surface Transportation Board","Agency Overall","2019","34","0","0","0","0","0","0","0","0","0","0","0","0","34"
"Commodity Futures Trading Commission","Agency Overall","2019","49","15","12","8","4","4","3","3","3","2","10","7","0","120"
"Social Security Advisory Board","Agency Overall","2019","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","13","7","4","3","3","0","0","0","0","0","0","0","0","30"
"Office of Management and Budget","Agency Overall","2019","25","51","22","4","6","5","5","1","1","0","6","1","4","131"
"Environmental Protection Agency","Agency Overall","2019","3988","1190","275","145","117","79","84","54","75","65","207","183","108","6570"
"Federal Housing Finance Agency","Agency Overall","2019","83","3","0","2","0","0","0","0","0","0","0","0","0","88"
"Consumer Product Safety Commission","Agency Overall","2019","1","28","19","7","6","5","2","3","2","2","9","3","3","90"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","2","2","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of National Drug Control Policy","Agency Overall","2019","43","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Farm Credit System Insurance Corporation","Agency Overall","2019","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"National Endowment for the Arts","Agency Overall","2019","31","14","6","0","0","0","0","0","0","0","0","0","0","51"
"National Mediation Board","Agency Overall","2019","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"U.S. Agency for International Development","Agency Overall","2019","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"U.S. Election Assistance Commission","Agency Overall","2019","2","1","1","3","1","0","1","0","0","0","0","0","0","9"
"Occupational Safety and Health Review Commission","Agency Overall","2019","66","1","0","0","0","0","0","0","0","0","0","0","0","67"
