"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Federal Financial Institutions Examination Council","Agency Overall","2019","499","499","499","499"
"Surface Transportation Board","Agency Overall","2019","20","20","20","20"
"Commodity Futures Trading Commission","Agency Overall","2019","10.5","10.5","9","12"
"Social Security Advisory Board","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","20","20","20","20"
"Office of Management and Budget","Agency Overall","2019","302","390","91","1077"
"Environmental Protection Agency","Agency Overall","2019","107","256.93","<1","2377"
"Federal Housing Finance Agency","Agency Overall","2019","10","13.6","4","28"
"Consumer Product Safety Commission","Agency Overall","2019","22.5","33.5","20","75"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2019","19","18","17","20"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2019","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","49.5","71.69","14","405"
"U.S. Election Assistance Commission","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2019","5","5","5","5"
"United States International Trade Commission","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2019","9","16","<1","289"
"Department of Labor","Agency Overall","2019","137","328.3","1","1762"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0"
"Department of Defense","Agency Overall","2019","21","148.89","<1","2685"
"Department of Justice","Agency Overall","2019","50","71.65","1","412"
"Office of the Director of National Intelligence","Agency Overall","2019","672.00","549.77","1","1592"
"Court Services and Offender Supervision Agency","Agency Overall","2019","8","8","8","8"
"Department of the Treasury","Agency Overall","2019","16","44.1","<1","2024"
"U.S. Commission on Civil Rights","Agency Overall","2019","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2019","17","16.52","4","64"
"Department of the Interior","Agency Overall","2019","266","282","1","1763"
"American Battle Monuments Commission","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2019","23","25.8","<1","78"
"Office of Special Counsel","Agency Overall","2019","12","16.33","10","27"
"Federal Maritime Commission","Agency Overall","2019","N/A","N/A","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","15","16","10","20"
"Department of Agriculture","Agency Overall","2019","387.5","490.75","<1","1931"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","211","336.18","2","1870"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","17","15.33","6","20"
"Council on Environmental Quality","Agency Overall","2019","7.5","23.63","1","226"
"Peace Corps","Agency Overall","2019","12.5","13.67","7","21"
"General Services Administration","Agency Overall","2019","40","110.29","1","489"
"Merit Systems Protection Board","Agency Overall","2019","20","44","8","140"
"Federal Communications Commission","Agency Overall","2019","72","148.67","<1","543"
"Tennessee Valley Authority","Agency Overall","2019","19","19.5","19","20"
"Nuclear Regulatory Commission","Agency Overall","2019","22","41.01","1","453"
"Federal Energy Regulatory Commission","Agency Overall","2019","32","70","14","402"
"National Archives and Records Administration","Agency Overall","2019","454","389.27","2","1283"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0"
"Department of Education","Agency Overall","2019","118.5","283.13","<1","1812"
"Department of Energy","Agency Overall","2019","<1","<1","<1","184"
"National Commission on Military, National, and Public Service","Agency Overall","2019","12.5","12.5","9","16"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0"
"United States Access Board","Agency Overall","2019","20","20","20","20"
"United States Trade and Development Agency","Agency Overall","2019","N/A","N/A","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2019","11","28","1","1134"
