"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Federal Labor Relations Authority","Agency Overall","2020","0","0.30","0.30"
"Federal Open Market Committee","Agency Overall","2020","0","0.50","0.50"
"General Services Administration","Agency Overall","2020","12","29.61","41.61"
"Department of Agriculture","Agency Overall","2020","95","162.37","257.37"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","10","1.58","11.58"
"Federal Energy Regulatory Commission","Agency Overall","2020","1","2.06","3.06"
"Commodity Futures Trading Commission","Agency Overall","2020","3","0.00","3.00"
"Armed Forces Retirement Home","Agency Overall","2020","0","1.00","1.00"
"Presidio Trust","Agency Overall","2020","0","0.10","0.10"
"Federal Reserve System","Agency Overall","2020","4","11.00","15.00"
"Consumer Financial Protection Bureau","Agency Overall","2020","9","17.30","26.30"
"Tennessee Valley Authority","Agency Overall","2020","1","0.25","1.25"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0.10","0.10"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0.10","0.10"
"Consumer Product Safety Commission","Agency Overall","2020","7","1.25","8.25"
"Nuclear Regulatory Commission","Agency Overall","2020","4","5.40","9.40"
"Inter-American Foundation","Agency Overall","2020","0","0.20","0.20"
"United States International Boundary and Water Commission","Agency Overall","2020","0","0.25","0.25"
"Legal Services Corporation","Agency Overall","2020","0","0.83","0.83"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","2","1.00","3.00"
"Department of Justice","Agency Overall","2020","445","78.32","523.32"
"Office of Special Counsel","Agency Overall","2020","6","4.00","10.00"
"Federal Maritime Commission","Agency Overall","2020","1","0.17","1.17"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0.01","0.01"
"Securities and Exchange Commission","Agency Overall","2020","30","8.46","38.46"
"Department of Transportation","Agency Overall","2020","51","201.15","252.15"
"Department of the Interior","Agency Overall","2020","78","67.28","145.28"
"United States International Trade Commission","Agency Overall","2020","0","5.00","5.00"
"Department of Homeland Security","Agency Overall","2020","398","213.45","611.45"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","1","0.00","1.00"
"Denali Commission","Agency Overall","2020","0","0.10","0.10"
"National Indian Gaming Commission","Agency Overall","2020","1","0.00","1.00"
"National Railroad Passenger Corporation","Agency Overall","2020","0","1.00","1.00"
