"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Federal Labor Relations Authority","Agency Overall","2020","1","26","7","11.22","20"
"Federal Open Market Committee","Agency Overall","2020","0","0","N/A","N/A","0"
"General Services Administration","Agency Overall","2020","40","68","1.0","2.31","105"
"Department of Agriculture","Agency Overall","2020","51","356","0","23.5","344"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","70","4.0","3.0","64"
"Federal Energy Regulatory Commission","Agency Overall","2020","0","9","6","6","9"
"Commodity Futures Trading Commission","Agency Overall","2020","1","0","6","6","1"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","N/A","N/A","0"
"Presidio Trust","Agency Overall","2020","0","1","6","6","1"
"Federal Reserve System","Agency Overall","2020","16","4","6","6","17"
"Consumer Financial Protection Bureau","Agency Overall","2020","0","7","1","1","7"
"Tennessee Valley Authority","Agency Overall","2020","1","0","12","12","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","1","0","6","6","1"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","N/A","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2020","2","59","6","29","43"
"Nuclear Regulatory Commission","Agency Overall","2020","8","17","1","<1","25"
"Inter-American Foundation","Agency Overall","2020","0","0","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"Legal Services Corporation","Agency Overall","2020","1","0","25","25","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","0","139","139","0"
"Department of Justice","Agency Overall","2020","810","3712","2","6.96","4092"
"Office of Special Counsel","Agency Overall","2020","20","10","1","2.9","29"
"Federal Maritime Commission","Agency Overall","2020","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2020","11","230","2","4.12","229"
"Department of Transportation","Agency Overall","2020","3","307","<1","1.52","296"
"Department of the Interior","Agency Overall","2020","40","127","9.5","33.28","92"
"United States International Trade Commission","Agency Overall","2020","0","1","<1","<1","1"
"Department of Homeland Security","Agency Overall","2020","627","10657","7","34.7","6165"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","N/A","N/A","0"
"Denali Commission","Agency Overall","2020","0","0","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2020","0","1","2","2","1"
"National Railroad Passenger Corporation","Agency Overall","2020","1","0","1","1","1"
"National Archives and Records Administration","Agency Overall","2020","5","142","8","5","140"
"Department of Education","Agency Overall","2020","16","113","6","24.35","86"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","N/A","N/A","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"National Labor Relations Board","Agency Overall","2020","107","150","2.0","3.49","242"
"Department of the Treasury","Agency Overall","2020","44","466","1","2","503"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","N/A","N/A","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","N/A","N/A","0"
"United States Access Board","Agency Overall","2020","0","0","N/A","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2020","7","5","8","7","8"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","19","20","26.95","5"
"Office of the Director of National Intelligence","Agency Overall","2020","6","38","<1","<1","38"
"Federal Communications Commission","Agency Overall","2020","52","12","7","6.56","60"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","1","0","19","19","0"
"Department of Commerce","Agency Overall","2020","96","190","6","28.87","176"
"Office of National Drug Control Policy","Agency Overall","2020","0","4","6","8","1"
"National Credit Union Administration","Agency Overall","2020","2","1","2","2.33","3"
"United States Copyright Office","Agency Overall","2020","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","0","N/A","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","0","1","3","3","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","N/A","N/A","0"
"United States Trade and Development Agency","Agency Overall","2020","0","1","1","1","1"
"U.S. International Development Finance Corporation","Agency Overall","2020","12","16","9","8.6","28"
"United States Postal Service","Agency Overall","2020","47","74","3","4.68","112"
"Small Business Administration","Agency Overall","2020","53","245","15","25.87","97"
"Appraisal Subcommittee","Agency Overall","2020","0","0","N/A","N/A","0"
"Surface Transportation Board","Agency Overall","2020","0","0","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2020","0","147","3","4","134"
"Marine Mammal Commission","Agency Overall","2020","0","0","N/A","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","N/A","N/A","0"
"National Mediation Board","Agency Overall","2020","0","0","N/A","N/A","0"
"National Transportation Safety Board","Agency Overall","2020","0","1","5","5","1"
"Office of Government Ethics","Agency Overall","2020","6","1","12","17.5","3"
"Office of Management and Budget","Agency Overall","2020","0","0","N/A","N/A","0"
"Farm Credit Administration","Agency Overall","2020","2","0","2","2","2"
"National Science Foundation","Agency Overall","2020","1","6","5","7","4"
"Merit Systems Protection Board","Agency Overall","2020","0","32","2.0","2.44","32"
