"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"National Council on Disability","Agency Overall","2021","0","0"
"United States Copyright Office","Agency Overall","2021","5","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","1","0"
"National Credit Union Administration","Agency Overall","2021","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0"
"Commission of Fine Arts","Agency Overall","2021","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","465","0"
"Council on Environmental Quality","Agency Overall","2021","37","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","37","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","5","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","6","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","82","3"
"Office of the United States Trade Representative","Agency Overall","2021","5","0"
"Social Security Advisory Board","Agency Overall","2021","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0"
"Marine Mammal Commission","Agency Overall","2021","2","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0"
"Legal Services Corporation","Agency Overall","2021","4","0"
"Surface Transportation Board","Agency Overall","2021","0","0"
"Department of the Interior","Agency Overall","2021","4484","355"
"Office of Special Counsel","Agency Overall","2021","4","0"
"Office of Science and Technology Policy","Agency Overall","2021","131","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","25","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0"
"U.S. Agency for International Development","Agency Overall","2021","396","5"
"Department of Education","Agency Overall","2021","697","42"
"Department of Health and Human Services","Agency Overall","2021","9955","646"
"Department of Housing and Urban Development","Agency Overall","2021","808","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","2","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","39","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","30","0"
"Institute of Museum and Library Services","Agency Overall","2021","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","2","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","111","67"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","2","0"
"Millennium Challenge Corporation","Agency Overall","2021","1","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","4","0"
"Department of Justice","Agency Overall","2021","49959","378"
"Office of the Director of National Intelligence","Agency Overall","2021","493","10"
"Selective Service System","Agency Overall","2021","0","0"
"Federal Open Market Committee","Agency Overall","2021","0","0"
"General Services Administration","Agency Overall","2021","392","12"
"National Endowment for the Arts","Agency Overall","2021","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","0"
"U.S. Department of State","Agency Overall","2021","14941","358"
"National Aeronautics and Space Administration","Agency Overall","2021","28","8"
"Denali Commission","Agency Overall","2021","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","3","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","1","0"
"Social Security Administration","Agency Overall","2021","88","22"
"Central Intelligence Agency","Agency Overall","2021","2652","418"
"United States Postal Service","Agency Overall","2021","148","0"
"National Labor Relations Board","Agency Overall","2021","7","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","12","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","73","0"
"Farm Credit Administration","Agency Overall","2021","0","0"
"Department of Veterans Affairs","Agency Overall","2021","2166","118"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0"
"United States International Trade Commission","Agency Overall","2021","1","0"
"National Capital Planning Commission","Agency Overall","2021","0","0"
"Office of Government Ethics","Agency Overall","2021","10","0"
"National Railroad Passenger Corporation","Agency Overall","2021","170","12"
"Appraisal Subcommittee","Agency Overall","2021","0","0"
"Department of Energy","Agency Overall","2021","678","12"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","0"
"Inter-American Foundation","Agency Overall","2021","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","19","0"
"Office of Personnel Management","Agency Overall","2021","190","1"
"Postal Regulatory Commission","Agency Overall","2021","1","0"
"Department of Transportation","Agency Overall","2021","4811","161"
"Presidio Trust","Agency Overall","2021","2","0"
"Environmental Protection Agency","Agency Overall","2021","1500","0"
"National Mediation Board","Agency Overall","2021","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0"
"National Transportation Safety Board","Agency Overall","2021","114","0"
"Federal Deposit Insurance Corporation","Agency Overall","2021","24","1"
"Federal Communications Commission","Agency Overall","2021","21","7"
"Small Business Administration","Agency Overall","2021","2144","8"
"Department of Commerce","Agency Overall","2021","773","143"
"Office of National Drug Control Policy","Agency Overall","2021","15","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","16","0"
"Peace Corps","Agency Overall","2021","64","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0"
"National Science Foundation","Agency Overall","2021","383","0"
"Department of Agriculture","Agency Overall","2021","2081","170"
"Department of Labor","Agency Overall","2021","1216","295"
"Commodity Futures Trading Commission","Agency Overall","2021","14","0"
"United States Institute of Peace","Agency Overall","2021","3","0"
"Department of the Treasury","Agency Overall","2021","2280","35"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","69","0"
"Nuclear Regulatory Commission","Agency Overall","2021","86","1"
"Federal Maritime Commission","Agency Overall","2021","4","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0"
"Merit Systems Protection Board","Agency Overall","2021","48","3"
