"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"National Council on Disability","Agency Overall","2021","1","1","0","6","0","0","0","0","0","5","0","0","13"
"United States Copyright Office","Agency Overall","2021","1","3","0","13","14","0","0","12","0","4","0","0","47"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","1","1","9","0","0","0","0","1","0","0","0","12"
"National Credit Union Administration","Agency Overall","2021","32","75","9","20","0","5","2","0","1","0","0","0","144"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","2724","358","81","146","0","54","4","5","25","4","80","0","3481"
"Commission of Fine Arts","Agency Overall","2021","2","5","0","7","0","0","0","3","0","0","0","0","17"
"United States African Development Foundation","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2021","92","149","98","87","9","29","0","31","7","0","18","28","548"
"Council on Environmental Quality","Agency Overall","2021","21","24","0","48","0","9","0","14","5","4","1","4","130"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","2","44","12","19","3","11","0","9","3","1","1","4","109"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","12","23","3","4","0","4","0","0","0","0","0","0","46"
"Advisory Council on Historic Preservation","Agency Overall","2021","3","1","0","4","0","2","0","0","6","0","0","0","16"
"Federal Mediation and Conciliation Service","Agency Overall","2021","5","3","3","5","0","2","0","0","1","0","0","0","19"
"U.S. Agency for Global Media","Agency Overall","2021","18","21","1","30","2","2","0","0","0","3","0","0","77"
"Office of the United States Trade Representative","Agency Overall","2021","10","58","0","26","1","0","0","2","0","0","0","0","97"
"Social Security Advisory Board","Agency Overall","2021","3","0","0","4","1","0","0","0","0","0","0","0","8"
"National Endowment for the Humanities","Agency Overall","2021","8","35","2","11","0","0","0","4","1","0","0","0","61"
"Marine Mammal Commission","Agency Overall","2021","7","1","0","0","0","0","0","0","0","0","0","0","8"
"Administrative Conference of the United States","Agency Overall","2021","6","3","0","32","0","0","0","0","0","0","0","0","41"
"Legal Services Corporation","Agency Overall","2021","10","4","0","6","0","2","0","0","0","0","0","0","22"
"Surface Transportation Board","Agency Overall","2021","12","2","1","20","0","2","0","3","2","0","0","0","42"
"Department of the Interior","Agency Overall","2021","1335","1521","195","1126","31","456","158","116","109","32","249","446","5774"
"Office of Special Counsel","Agency Overall","2021","17","89","15","16","5","21","0","0","2","1","3","0","169"
"Office of Science and Technology Policy","Agency Overall","2021","12","42","0","23","0","2","0","12","7","0","2","0","100"
"Federal Energy Regulatory Commission","Agency Overall","2021","5","17","9","4","0","0","0","0","0","0","0","0","35"
"Armed Forces Retirement Home","Agency Overall","2021","4","3","0","2","0","0","0","0","0","0","0","0","9"
"U.S. Agency for International Development","Agency Overall","2021","27","122","13","47","4","42","1","8","19","5","2","7","297"
"Department of Education","Agency Overall","2021","293","1160","57","227","6","129","7","72","0","265","66","10","2292"
"Department of Health and Human Services","Agency Overall","2021","11103","4324","5494","3481","708","2816","460","200","2332","1052","866","116","32952"
"Department of Housing and Urban Development","Agency Overall","2021","253","334","79","290","7","736","19","29","59","14","59","214","2093"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","26","4","0","5","0","0","0","1","1","0","0","3","40"
