"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Council on Disability","Agency Overall","2021","16","16.5","4","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2021","21","21","21","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2021","30","30","30","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2021","5","4.78","<1","11","28","26.82","2","144","20","20","20","20"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","11","12.85","<1","63","14.0","19.36","<1","235","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2021","15","15","8","22","48","48","37","65","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2021","23","23","23","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2021","32","101.82","<1","857","68","180.44","3","1166","82","82","82","82"
"Council on Environmental Quality","Agency Overall","2021","38","108.44","5","715","414","436","108","900","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","2","2.33","1","4","370","376","1","1106","1","1","1","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","21","40.2","<1","195","99.5","125.5","12","248","187","187","187","187"
"Advisory Council on Historic Preservation","Agency Overall","2021","N/A","N/A","N/A","N/A","109","109","68","149","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2021","20","28.8","3","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2021","94","134","5","378","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2021","20","27","2","90","59","71","33","271","18","18","17","20"
"Social Security Advisory Board","Agency Overall","2021","19","20","16","25","n/a","na","N/A","N/A","0","na","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2021","19","14.7","0","20","38","54","21","155","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2021","10","13","1","40","81","81","27","135","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2021","1","1.17","<1","2","19","19","19","19","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2021","21.5","18.44","5","45","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2021","13.5","11.43","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2021","30.0","99.11","<1","1162","91.0","209.35","<1","1600","15.0","67.61","<1","485"
"Office of Special Counsel","Agency Overall","2021","47","52.79","4","159","106.5","114.78","1","339","10","10","10","10"
"Office of Science and Technology Policy","Agency Overall","2021","15","35.92","1","816","10.5","56.53","1","527","40","23.13","1","71"
"Federal Energy Regulatory Commission","Agency Overall","2021","24","24","20","28","75","237","19","713","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2021","16","14","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2021","329","374.62","5","1072","188","363.2","1","1242","309","319","135","513"
"Department of Education","Agency Overall","2021","12.00","16.70","<1","877","135.00","276.98","1","1497","44.50","256.00","<1","935"
"Department of Health and Human Services","Agency Overall","2021","11.75","35.07","<1","1967","58.60","148.25","<1","2041","121.43","152.13","1","999"
"Department of Housing and Urban Development","Agency Overall","2021","20.00","63.11","<1","792","78.00","225.50","4","1348","18.50","26.10","3","95"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","1","2.3","1","13","33","48.4","2","145","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2021","27","30.14","9","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","1","2.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2021","37","56","8","117","67","66","34","94","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","20.3","20.3","6","48","256","266.7","222","333","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2021","8","9.03","3","22","29","29","29","29","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","36","34","1","132","N/A","N/A","N/A","N/A","N/A","N/A ","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2021","18.50","32.28","<1","516","27.50","39.20","<1","410","31","31","31","31"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","19","30","9","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2021","9","7","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","4","12","<1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
