"Agency","Component","Fiscal Year","Total"
"National Council on Disability","Agency Overall","2021","0"
"United States Copyright Office","Agency Overall","2021","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0"
"National Credit Union Administration","Agency Overall","2021","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","4"
"Commission of Fine Arts","Agency Overall","2021","0"
"United States African Development Foundation","Agency Overall","2021","0"
"Consumer Product Safety Commission","Agency Overall","2021","0"
"Council on Environmental Quality","Agency Overall","2021","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0"
"U.S. Agency for Global Media","Agency Overall","2021","0"
"Office of the United States Trade Representative","Agency Overall","2021","0"
"Social Security Advisory Board","Agency Overall","2021","0"
"National Endowment for the Humanities","Agency Overall","2021","0"
"Marine Mammal Commission","Agency Overall","2021","0"
"Administrative Conference of the United States","Agency Overall","2021","0"
"Legal Services Corporation","Agency Overall","2021","0"
"Surface Transportation Board","Agency Overall","2021","0"
"Department of the Interior","Agency Overall","2021","146"
"Office of Special Counsel","Agency Overall","2021","0"
"Office of Science and Technology Policy","Agency Overall","2021","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0"
"Armed Forces Retirement Home","Agency Overall","2021","0"
"U.S. Agency for International Development","Agency Overall","2021","1"
"Department of Education","Agency Overall","2021","2"
"Department of Health and Human Services","Agency Overall","2021","2"
"Department of Housing and Urban Development","Agency Overall","2021","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0"
"Institute of Museum and Library Services","Agency Overall","2021","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","63"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0"
"Millennium Challenge Corporation","Agency Overall","2021","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0"
"Department of Justice","Agency Overall","2021","1177"
"Office of the Director of National Intelligence","Agency Overall","2021","0"
"Selective Service System","Agency Overall","2021","0"
"Federal Open Market Committee","Agency Overall","2021","0"
"General Services Administration","Agency Overall","2021","0"
