"Agency","Component","Fiscal Year","Total"
"Department of Veterans Affairs","Agency Overall","2022","1493"
"Central Intelligence Agency","Agency Overall","2022","37"
"Commission of Fine Arts","Agency Overall","2022","0"
"National Science Foundation","Agency Overall","2022","0"
"Department of Justice","Agency Overall","2022","1415"
"Federal Maritime Commission","Agency Overall","2022","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","0"
"General Services Administration","Agency Overall","2022","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0"
"Office of Science and Technology Policy","Agency Overall","2022","0"
"United States Trade and Development Agency","Agency Overall","2022","0"
"National Aeronautics and Space Administration","Agency Overall","2022","61"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0"
"Marine Mammal Commission","Agency Overall","2022","0"
"Appraisal Subcommittee","Agency Overall","2022","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0"
"Office of Management and Budget","Agency Overall","2022","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0"
"Federal Housing Finance Agency","Agency Overall","2022","0"
"United States Postal Service","Agency Overall","2022","0"
"Department of the Interior","Agency Overall","2022","406"
"Tennessee Valley Authority","Agency Overall","2022","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0"
"Millennium Challenge Corporation","Agency Overall","2022","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0"
"Presidio Trust","Agency Overall","2022","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0"
"U.S. Department of State","Agency Overall","2022","55"
"Farm Credit Administration","Agency Overall","2022","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0"
"Social Security Administration","Agency Overall","2022","0"
"National Indian Gaming Commission","Agency Overall","2022","0"
"United States African Development Foundation","Agency Overall","2022","0"
"National Credit Union Administration","Agency Overall","2022","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","4"
"U.S. Election Assistance Commission","Agency Overall","2022","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","0"
"Office of National Drug Control Policy","Agency Overall","2022","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0"
"Council on Environmental Quality","Agency Overall","2022","3"
"Merit Systems Protection Board","Agency Overall","2022","0"
"Office of Special Counsel","Agency Overall","2022","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0"
"Peace Corps","Agency Overall","2022","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","8"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0"
"Federal Trade Commission","Agency Overall","2022","51"
"Department of Labor","Agency Overall","2022","0"
"Federal Communications Commission","Agency Overall","2022","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0"
"Nuclear Regulatory Commission","Agency Overall","2022","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","10"
"United States International Trade Commission","Agency Overall","2022","0"
"Institute of Museum and Library Services","Agency Overall","2022","0"
"National Labor Relations Board","Agency Overall","2022","0"
"Denali Commission","Agency Overall","2022","0"
"Federal Reserve System","Agency Overall","2022","2"
"Inter-American Foundation","Agency Overall","2022","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0"
"National Transportation Safety Board","Agency Overall","2022","0"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0"
"National Archives and Records Administration","Agency Overall","2022","245"
"Selective Service System","Agency Overall","2022","0"
"United States Copyright Office","Agency Overall","2022","0"
"Department of Transportation","Agency Overall","2022","8"
"Office of the Director of National Intelligence","Agency Overall","2022","44"
"Social Security Advisory Board","Agency Overall","2022","0"
"National Capital Planning Commission","Agency Overall","2022","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0"
"Department of Agriculture","Agency Overall","2022","62"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0"
"Department of Housing and Urban Development","Agency Overall","2022","13"
"Department of Energy","Agency Overall","2022","0"
"Department of Health and Human Services","Agency Overall","2022","176"
"Office of Personnel Management","Agency Overall","2022","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0"
"National Council on Disability","Agency Overall","2022","0"
"Small Business Administration","Agency Overall","2022","0"
"Armed Forces Retirement Home","Agency Overall","2022","0"
"Office of the United States Trade Representative","Agency Overall","2022","0"
"Consumer Product Safety Commission","Agency Overall","2022","74"
"Department of Defense","Agency Overall","2022","1976"
"Federal Election Commission","Agency Overall","2022","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","3"
"Federal Open Market Committee","Agency Overall","2022","0"
"Environmental Protection Agency","Agency Overall","2022","4"
"U.S. Railroad Retirement Board","Agency Overall","2022","0"
"Administrative Conference of the United States","Agency Overall","2022","0"
"Commodity Futures Trading Commission","Agency Overall","2022","16"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0"
"Postal Regulatory Commission","Agency Overall","2022","14"
"United States Access Board","Agency Overall","2022","0"
"Department of Education","Agency Overall","2022","37"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0"
"National Mediation Board","Agency Overall","2022","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","0"
"United States Institute of Peace","Agency Overall","2022","0"
"Securities and Exchange Commission","Agency Overall","2022","0"
"American Battle Monuments Commission","Agency Overall","2022","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0"
"National Endowment for the Humanities","Agency Overall","2022","0"
"Federal Energy Regulatory Commission","Agency Overall","2022","0"
"Legal Services Corporation","Agency Overall","2022","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","0"
"Department of Commerce","Agency Overall","2022","47"
"U.S. Agency for International Development","Agency Overall","2022","12"
"Surface Transportation Board","Agency Overall","2022","0"
"Department of the Treasury","Agency Overall","2022","46"
"National Endowment for the Arts","Agency Overall","2022","0"
"Department of Homeland Security","Agency Overall","2022","962"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0"
"Office of Government Ethics","Agency Overall","2022","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0"
"National Railroad Passenger Corporation","Agency Overall","2022","0"
"Federal Labor Relations Authority","Agency Overall","2022","0"
"All agencies","Agency Overall","2022","7285"
