"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Department of Veterans Affairs","Agency Overall","2022","4108","22542","24343","2307"
"Central Intelligence Agency","Agency Overall","2022","2855","2408","2095","3168"
"Commission of Fine Arts","Agency Overall","2022","0","17","17","0"
"National Science Foundation","Agency Overall","2022","404","302","202","504"
"Department of Justice","Agency Overall","2022","59858","93370","82868","70360"
"Federal Maritime Commission","Agency Overall","2022","5","45","38","12"
"Advisory Council on Historic Preservation","Agency Overall","2022","6","36","37","5"
"General Services Administration","Agency Overall","2022","509","1168","1360","317"
"Occupational Safety and Health Review Commission","Agency Overall","2022","1","94","92","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","5","45","47","3"
"Office of Science and Technology Policy","Agency Overall","2022","131","104","65","170"
"United States Trade and Development Agency","Agency Overall","2022","45","21","16","50"
"National Aeronautics and Space Administration","Agency Overall","2022","68","993","982","79"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","290","279","11"
"Federal Mediation and Conciliation Service","Agency Overall","2022","1","56","53","4"
"Marine Mammal Commission","Agency Overall","2022","6","9","10","5"
"Appraisal Subcommittee","Agency Overall","2022","0","16","16","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","8","8","0"
"Office of Management and Budget","Agency Overall","2022","670","263","323","610"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","3","3","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","74","337","294","117"
"Federal Housing Finance Agency","Agency Overall","2022","21","89","73","37"
"United States Postal Service","Agency Overall","2022","354","3894","3986","262"
"Department of the Interior","Agency Overall","2022","5184","6407","6182","5409"
"Tennessee Valley Authority","Agency Overall","2022","34","211","217","28"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","4","4","0"
"Millennium Challenge Corporation","Agency Overall","2022","2","21","23","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","11","41","39","13"
"Presidio Trust","Agency Overall","2022","2","9","9","2"
"Export-Import Bank of the U.S.","Agency Overall","2022","30","84","90","24"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","30","2","2","30"
"U.S. Department of State","Agency Overall","2022","16284","13864","9167","20981"
"Farm Credit Administration","Agency Overall","2022","0","37","37","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","60","60","0"
"Social Security Administration","Agency Overall","2022","686","11762","11811","637"
"National Indian Gaming Commission","Agency Overall","2022","4","48","49","3"
"United States African Development Foundation","Agency Overall","2022","0","1","0","1"
"National Credit Union Administration","Agency Overall","2022","9","112","115","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","10","44","48","6"
"U.S. Election Assistance Commission","Agency Overall","2022","88","195","72","211"
"Federal Deposit Insurance Corporation","Agency Overall","2022","45","494","502","37"
"Office of National Drug Control Policy","Agency Overall","2022","24","50","65","9"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","15","15","0"
"Council on Environmental Quality","Agency Overall","2022","42","127","124","45"
"Merit Systems Protection Board","Agency Overall","2022","56","138","130","64"
"Office of Special Counsel","Agency Overall","2022","13","138","140","11"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","4","17","21","0"
"Peace Corps","Agency Overall","2022","67","200","156","111"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","40","77","83","34"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","5","5","0"
"Federal Trade Commission","Agency Overall","2022","48","1619","1579","88"
"Department of Labor","Agency Overall","2022","2158","14491","14335","2314"
