"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Federal Reserve System","Agency Overall","2023","2","14"
"Federal Mediation and Conciliation Service","Agency Overall","2023","12","1"
"Commodity Futures Trading Commission","Agency Overall","2023","23","60"
"Consumer Product Safety Commission","Agency Overall","2023","5","117"
"Administrative Conference of the United States","Agency Overall","2023","10","344"
"Farm Credit Administration","Agency Overall","2023","1","15"
"Nuclear Regulatory Commission","Agency Overall","2023","647","0"
"National Transportation Safety Board","Agency Overall","2023","9011","1378"
"Department of Veterans Affairs","Agency Overall","2023","84","0"
"Department of Homeland Security","Agency Overall","2023","566","0"
"Office of Management and Budget","Agency Overall","2023","22","200"
"Social Security Administration","Agency Overall","2023","46","0"
"U.S. Election Assistance Commission","Agency Overall","2023","6","35"
"Office of Personnel Management","Agency Overall","2023","0","0"
"National Indian Gaming Commission","Agency Overall","2023","55","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","44"
"Peace Corps","Agency Overall","2023","4","31"
"Court Services and Offender Supervision Agency","Agency Overall","2023","5","16"
"Office of National Drug Control Policy","Agency Overall","2023","2","16"
"Department of Energy","Agency Overall","2023","12","807"
"National Endowment for the Humanities","Agency Overall","2023","2","29"
"National Railroad Passenger Corporation","Agency Overall","2023","20","0"
"Occupational Safety and Health Review Commission","Agency Overall","2023","4","96"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","1","0"
"Institute of Museum and Library Services","Agency Overall","2023","2","1250"
"National Science Foundation","Agency Overall","2023","0","325"
"Department of Commerce","Agency Overall","2023","14","4274264"
"Department of Defense","Agency Overall","2023","41834","1416"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0"
"Department of the Interior","Agency Overall","2023","23060","3675"
"National Archives and Records Administration","Agency Overall","2023","54","217306018"
"Department of Labor","Agency Overall","2023","44532","396691"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","6","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","1","3"
"Office of Special Counsel","Agency Overall","2023","0","0"
"Federal Open Market Committee","Agency Overall","2023","178","29"
"Department of Agriculture","Agency Overall","2023","75","41930"
"Environmental Protection Agency","Agency Overall","2023","152567","0"
"Millennium Challenge Corporation","Agency Overall","2023","0","0"
"Appraisal Subcommittee","Agency Overall","2023","0","36"
"Federal Maritime Commission","Agency Overall","2023","12","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","5"
"General Services Administration","Agency Overall","2023","4","134"
"Federal Financial Institutions Examination Council","Agency Overall","2023","2","51"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","5","438"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","15","24"
"Inter-American Foundation","Agency Overall","2023","2","158"
"Export-Import Bank of the U.S.","Agency Overall","2023","30","35"
"Office of the United States Trade Representative","Agency Overall","2023","15","75"
"Central Intelligence Agency","Agency Overall","2023","7125","5"
"U.S. Department of State","Agency Overall","2023","4112","0"
"Federal Election Commission","Agency Overall","2023","590","221"
"United States Trade and Development Agency","Agency Overall","2023","0","1"
"Merit Systems Protection Board","Agency Overall","2023","3","1459"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0"
"Legal Services Corporation","Agency Overall","2023","876","2985"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","17"
"United States Postal Service","Agency Overall","2023","454","7741"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","5"
"National Credit Union Administration","Agency Overall","2023","20","711"
"National Council on Disability","Agency Overall","2023","0","41"
"Council on Environmental Quality","Agency Overall","2023","17","8"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","4","7"
"Surface Transportation Board","Agency Overall","2023","2","1000"
"Social Security Advisory Board","Agency Overall","2023","0","0"
"Selective Service System","Agency Overall","2023","2","52"
"American Battle Monuments Commission","Agency Overall","2023","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0"
"United States Institute of Peace","Agency Overall","2023","0","0"
"United States International Boundary and Water Commission","Agency Overall","2023","2","45"
"United States Copyright Office","Agency Overall","2023","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","17","0"
"National Labor Relations Board","Agency Overall","2023","807","25040"
"National Capital Planning Commission","Agency Overall","2023","0","617"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","19","311"
"United States International Trade Commission","Agency Overall","2023","0","315"
"Equal Employment Opportunity Commission","Agency Overall","2023","4","4790"
"Department of Transportation","Agency Overall","2023","118","860"
"Department of Justice","Agency Overall","2023","31435","47943"
"National Aeronautics and Space Administration","Agency Overall","2023","7","4000"
"United States African Development Foundation","Agency Overall","2023","0","0"
"Denali Commission","Agency Overall","2023","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","58"
"Postal Regulatory Commission","Agency Overall","2023","0","4"
"National Mediation Board","Agency Overall","2023","828","828"
"U.S. Agency for International Development","Agency Overall","2023","593","0"
"Department of Health and Human Services","Agency Overall","2023","1076","21656"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","30"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","5","155"
"Department of Education","Agency Overall","2023","17","1470"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","1","4"
"Department of Housing and Urban Development","Agency Overall","2023","51678","6902"
"Tennessee Valley Authority","Agency Overall","2023","30","52"
"Department of the Treasury","Agency Overall","2023","1452","4227"
"Marine Mammal Commission","Agency Overall","2023","0","150"
"Securities and Exchange Commission","Agency Overall","2023","87","826560"
"Federal Trade Commission","Agency Overall","2023","993","0"
"Consumer Financial Protection Bureau","Agency Overall","2023","32","439"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0"
"United States Access Board","Agency Overall","2023","0","1"
"National Endowment for the Arts","Agency Overall","2023","0","2"
"Commission of Fine Arts","Agency Overall","2023","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","37","17"
"Federal Communications Commission","Agency Overall","2023","9","2752838"
