"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Reserve System","Agency Overall","2023","5","3","4","5","4","7","4","0","2","2","1","3","3","43"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2023","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"Administrative Conference of the United States","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"National Transportation Safety Board","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2023","13","15","4","4","0","3","1","0","0","0","0","0","0","40"
"Department of Homeland Security","Agency Overall","2023","36","13","9","6","3","2","4","1","17","7","10","3","23","134"
"Office of Management and Budget","Agency Overall","2023","0","0","0","0","2","2","0","0","0","1","1","0","2","8"
"Social Security Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2023","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2023","3","0","0","0","0","0","0","1","0","0","0","0","2","6"
"National Endowment for the Humanities","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2023","11","1","0","0","0","1","0","1","1","1","0","0","4","20"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2023","6","2","2","1","2","0","1","0","0","0","2","1","4","21"
"Department of Defense","Agency Overall","2023","588","82","40","25","24","25","14","12","15","12","31","8","22","898"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2023","26","9","6","0","5","1","1","1","0","1","4","2","6","62"
"National Archives and Records Administration","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"Department of Labor","Agency Overall","2023","46","4","1","1","1","1","0","0","3","0","1","1","0","59"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2023","1","2","0","3","0","0","0","0","0","0","1","0","0","7"
