"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Federal Reserve System","Agency Overall","2023","45","55","8","7","100"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","5","1","2.8","5"
"Commodity Futures Trading Commission","Agency Overall","2023","0","7","8","8.29","6"
"Consumer Product Safety Commission","Agency Overall","2023","89","67","10","9.62","132"
"Administrative Conference of the United States","Agency Overall","2023","0","0","N/A","N/A","0"
"Farm Credit Administration","Agency Overall","2023","0","0","N/A","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2023","2","1","1",".67","3"
"National Transportation Safety Board","Agency Overall","2023","0","7","1","51","5"
"Department of Veterans Affairs","Agency Overall","2023","97","211","7","25.87","177"
"Department of Homeland Security","Agency Overall","2023","168","33870","1","3","28718"
"Office of Management and Budget","Agency Overall","2023","7","7","6","10","12"
"Social Security Administration","Agency Overall","2023","0","383","4","5","343"
"U.S. Election Assistance Commission","Agency Overall","2023","0","2","8","8","2"
"Office of Personnel Management","Agency Overall","2023","0","15","<1","0.8","15"
"National Indian Gaming Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","N/A","N/A","0"
"Peace Corps","Agency Overall","2023","3","15","1","7.94","17"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","31","1","2","30"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of Energy","Agency Overall","2023","6","95","5","12.16","83"
"National Endowment for the Humanities","Agency Overall","2023","0","4","1.5","1.5","4"
"National Railroad Passenger Corporation","Agency Overall","2023","48","4","4","61.52","37"
"Occupational Safety and Health Review Commission","Agency Overall","2023","1","0","10","10","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","N/A","N/A","0"
"National Science Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of Commerce","Agency Overall","2023","25","115","19","44.58","112"
"Department of Defense","Agency Overall","2023","1019","2543","3","15.85","2605"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of the Interior","Agency Overall","2023","68","590","7","47","396"
"National Archives and Records Administration","Agency Overall","2023","56","192","14","13","162"
"Department of Labor","Agency Overall","2023","66","320","7.00","59.38","243"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","N/A","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2023","0","1","10","10","1"
"Advisory Council on Historic Preservation","Agency Overall","2023","0","0","N/A","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2023","7","13","10","11.4","16"
"Office of Special Counsel","Agency Overall","2023","4","10","<1","4.29","12"
"Federal Open Market Committee","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of Agriculture","Agency Overall","2023","15","209","2","10.27","189"
"Environmental Protection Agency","Agency Overall","2023","6","319","1.0","2.24","322"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","N/A","N/A","0"
"Appraisal Subcommittee","Agency Overall","2023","0","0","N/A","N/A","0"
"Federal Maritime Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","N/A","N/A","0"
"General Services Administration","Agency Overall","2023","18","242","1.0","3.63","236"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","N/A","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0","N/A","N/A","0"
"Inter-American Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2023","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2023","4","2","7","5","6"
"Central Intelligence Agency","Agency Overall","2023","3","86","4","9.79","61"
"U.S. Department of State","Agency Overall","2023","206","518","6","15.13","511"
"Federal Election Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"United States Trade and Development Agency","Agency Overall","2023","0","0","N/A","N/A","0"
"Merit Systems Protection Board","Agency Overall","2023","0","13","2","3.15","13"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","N/A","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","N/A","N/A","0"
"Legal Services Corporation","Agency Overall","2023","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","0","N/A","N/A","0"
"United States Postal Service","Agency Overall","2023","9","143","1","3.42","142"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","14","136","128.43","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0","N/A","N/A","0"
"National Credit Union Administration","Agency Overall","2023","0","0","N/A","N/A","0"
"National Council on Disability","Agency Overall","2023","0","1","7","7","1"
"Council on Environmental Quality","Agency Overall","2023","0","2","2","13","1"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","0","N/A","N/A","0"
"Surface Transportation Board","Agency Overall","2023","0","18","1","1.94","18"
"Social Security Advisory Board","Agency Overall","2023","0","0","N/A","N/A","0"
"Selective Service System","Agency Overall","2023","0","0","N/A","N/A","0"
"American Battle Monuments Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","N/A","N/A","0"
"United States Institute of Peace","Agency Overall","2023","0","0","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2023","0","1","1","1","1"
"United States Copyright Office","Agency Overall","2023","0","0","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","N/A","N/A","0"
"National Labor Relations Board","Agency Overall","2023","294","102","1","1.84","392"
"National Capital Planning Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","N/A","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2023","49","43","4.00","4.60","86"
"United States International Trade Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","0","153","19","15.38","42"
"Department of Transportation","Agency Overall","2023","27","287","1","12.18","290"
"Department of Justice","Agency Overall","2023","536","5057","5","21.36","3455"
"National Aeronautics and Space Administration","Agency Overall","2023","2","39","1","9.02","31"
"United States African Development Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Denali Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","86","6","8.93","66"
"Postal Regulatory Commission","Agency Overall","2023","2","0","11","11","1"
"National Mediation Board","Agency Overall","2023","0","0","N/A","N/A","0"
"U.S. Agency for International Development","Agency Overall","2023","2","46","<1","16.94","48"
"Department of Health and Human Services","Agency Overall","2023","45","849","4.16","12.08","831"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","N/A","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of Education","Agency Overall","2023","1","166","1","9.46","154"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","0","N/A","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2023","32","52","21.00","38.92","34"
"Tennessee Valley Authority","Agency Overall","2023","2","1","10","7","3"
"Department of the Treasury","Agency Overall","2023","61","269","3.00","9.58","265"
"Marine Mammal Commission","Agency Overall","2023","0","0","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2023","2","482","2","3.39","468"
"Federal Trade Commission","Agency Overall","2023","56","146","3","8.3","169"
"Consumer Financial Protection Bureau","Agency Overall","2023","1","14","1","6.6","12"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","N/A","N/A","0"
"Office of the National Cyber Director","Agency Overall","2023","0","0","N/A","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","N/A","N/A","0"
"National Endowment for the Arts","Agency Overall","2023","0","2","N/A","N/A","0"
"Commission of Fine Arts","Agency Overall","2023","0","0","N/A","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2023","4","13","<1","8.08","10"
"Federal Communications Commission","Agency Overall","2023","45","48","2.0","3.24","93"
"Federal Energy Regulatory Commission","Agency Overall","2023","0","4","8","8","4"
"Federal Labor Relations Authority","Agency Overall","2023","0","24","8","21.13","15"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0","N/A","N/A","0"
"Small Business Administration","Agency Overall","2023","30","70","20","32.69","41"
"U.S. Agency for Global Media","Agency Overall","2023","0","9","3","3","9"
"Presidio Trust","Agency Overall","2023","0","0","N/A","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2023","0","1","3","3","1"
"Office of Government Ethics","Agency Overall","2023","7","1","1","1.2","7"
"All agencies","Agency Overall","2023","3170","48095","N/A","N/A","41265"
