"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Federal Reserve System","Agency Overall","2023","0","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","3","1","1"
"Commodity Futures Trading Commission","Agency Overall","2023","0","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2023","4","0","46.5","117.5"
"Administrative Conference of the United States","Agency Overall","2023","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2023","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2023","3","22","1",".28"
"National Transportation Safety Board","Agency Overall","2023","0","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2023","152","182","6","27.59"
"Department of Homeland Security","Agency Overall","2023","1649","660","<1","8"
"Office of Management and Budget","Agency Overall","2023","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2023","0","374","5","7"
"U.S. Election Assistance Commission","Agency Overall","2023","3","7","17","20"
"Office of Personnel Management","Agency Overall","2023","16","14","0.5","1.77"
"National Indian Gaming Commission","Agency Overall","2023","1","2","2","4"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2023","38","0","1","4.16"
"Court Services and Offender Supervision Agency","Agency Overall","2023","38","9","1","1"
"Office of National Drug Control Policy","Agency Overall","2023","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2023","213","52","3","15.61"
"National Endowment for the Humanities","Agency Overall","2023","0","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2023","116","4","3","35.14"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2023","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2023","1","0","1","1"
"Department of Commerce","Agency Overall","2023","211","147","2","27.03"
"Department of Defense","Agency Overall","2023","1790","1621","1","31.23"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0","N/A","N/A"
"Department of the Interior","Agency Overall","2023","829","244","5","32.75"
"National Archives and Records Administration","Agency Overall","2023","491","54","12","17"
"Department of Labor","Agency Overall","2023","211","366","10.00","41.67"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2023","52","0","1","1"
"Advisory Council on Historic Preservation","Agency Overall","2023","12","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2023","7","0","8","8.71"
"Office of Special Counsel","Agency Overall","2023","0","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2023","0","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2023","809","48","1","20.63"
"Environmental Protection Agency","Agency Overall","2023","337","491","0.0","0.02"
"Millennium Challenge Corporation","Agency Overall","2023","0","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2023","7","0","1","1"
"Federal Maritime Commission","Agency Overall","2023","0","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2023","11","199","1","0.11"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","0","2","2"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","16","0","1","1"
"Inter-American Foundation","Agency Overall","2023","15","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2023","33","1","<1","25.12"
"Office of the United States Trade Representative","Agency Overall","2023","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2023","1","0","13","13"
"U.S. Department of State","Agency Overall","2023","397","57","2","20.57"
"Federal Election Commission","Agency Overall","2023","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2023","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2023","0","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2023","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","4","0","2","2"
"United States Postal Service","Agency Overall","2023","49","150","1","2.74"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","3","<1","<1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","16","0","8.5","6"
"National Credit Union Administration","Agency Overall","2023","14","0","1","2.21"
"National Council on Disability","Agency Overall","2023","5","0","10","20"
"Council on Environmental Quality","Agency Overall","2023","0","0","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","7","0","8","10"
"Surface Transportation Board","Agency Overall","2023","2","25","1","1.33"
"Social Security Advisory Board","Agency Overall","2023","0","0","N/A","N/A"
"Selective Service System","Agency Overall","2023","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2023","0","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2023","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2023","1","0","1","1"
"United States Copyright Office","Agency Overall","2023","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2023","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2023","16","47","0","1.52"
"National Capital Planning Commission","Agency Overall","2023","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2023","36","0","2.00","9.44"
"United States International Trade Commission","Agency Overall","2023","0","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2023","243","2099","1","9.22"
"Department of Transportation","Agency Overall","2023","126","82","1","10.75"
"Department of Justice","Agency Overall","2023","537","1017","1","16.62"
"National Aeronautics and Space Administration","Agency Overall","2023","6","46","1","8.85"
"United States African Development Foundation","Agency Overall","2023","0","0","N/A","N/A"
"Denali Commission","Agency Overall","2023","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","10","49","4","7"
"Postal Regulatory Commission","Agency Overall","2023","1","0","28","28"
"National Mediation Board","Agency Overall","2023","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2023","31","29","<1","1.07"
"Department of Health and Human Services","Agency Overall","2023","118","144","34.27","49.43"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","0","N/A","N/A"
"Department of Education","Agency Overall","2023","402","162","1","4.39"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2023","50","27","20.00","47.26"
"Tennessee Valley Authority","Agency Overall","2023","12","1","19","17.69"
"Department of the Treasury","Agency Overall","2023","126","87","3.50","194.52"
"Marine Mammal Commission","Agency Overall","2023","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2023","9","361","2","3.1"
"Federal Trade Commission","Agency Overall","2023","76","64","2","6.16"
"Consumer Financial Protection Bureau","Agency Overall","2023","12","4","1","16.06"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0","N/A","N/A"
"Office of the National Cyber Director","Agency Overall","2023","0","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2023","0","0","0","0"
"United States Access Board","Agency Overall","2023","0","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2023","0","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2023","17","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2023","64","0","<1","<1"
"Federal Communications Commission","Agency Overall","2023","2","2","4.5","8.75"
"Federal Energy Regulatory Commission","Agency Overall","2023","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2023","3","57","1","4.15"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0","N/A","N/A"
"Small Business Administration","Agency Overall","2023","20","32","19","66.96"
